value	metric	biological_context
0.2929936305732484	pathway coverage	blood
0.5361842105263158	LV associated with pathways	blood
0.2085987261146497	pathway coverage	cancer
0.3783783783783784	LV associated with pathways	cancer
0.31687898089171973	pathway coverage	cell_line
0.2591623036649215	LV associated with pathways	cell_line
0.39171974522292996	pathway coverage	other_tissues
0.19655172413793104	LV associated with pathways	other_tissues
0.34235668789808915	pathway coverage	tissue
0.2378472222222222	LV associated with pathways	tissue
