Cell_type	Sample	MCP_estimate
T cells	N1004	0.14670938257878197
CD8 T cells	N1004	-0.142676444921661
Cytotoxic lymphocytes	N1004	-0.02430849005841721
NK cells	N1004	-0.023063121043824054
B lineage	N1004	0.09923739870734155
Monocytic lineage	N1004	0.43165141162938325
Myeloid dendritic cells	N1004	-0.11599600132080616
Neutrophils	N1004	0.6064648069674878
Endothelial cells	N1004	-0.02948703486749569
Fibroblasts	N1004	0.033945973704637415
T cells	N1007	0.23581138173408406
CD8 T cells	N1007	-0.0558804838433065
Cytotoxic lymphocytes	N1007	0.0309446310007934
NK cells	N1007	-0.03277437414675561
B lineage	N1007	0.20682084673637288
Monocytic lineage	N1007	0.5490596037759844
Myeloid dendritic cells	N1007	5.187270860454896e-4
Neutrophils	N1007	1.8775035909526667
Endothelial cells	N1007	-0.00783591466456713
Fibroblasts	N1007	0.12058543221194139
T cells	N1017	0.08877735589215824
CD8 T cells	N1017	-0.0914420480636027
Cytotoxic lymphocytes	N1017	0.018665641960752204
NK cells	N1017	-0.1105118682204027
B lineage	N1017	0.006949074345722877
Monocytic lineage	N1017	0.267346111772247
Myeloid dendritic cells	N1017	-0.06924016487338135
Neutrophils	N1017	0.60066567466438
Endothelial cells	N1017	0.02853013390728276
Fibroblasts	N1017	0.2037791777512763
T cells	N1025	0.13492026415985545
CD8 T cells	N1025	-0.0780107881291609
Cytotoxic lymphocytes	N1025	-0.0831454668882195
NK cells	N1025	-0.017905721755468004
B lineage	N1025	-8.549513127125499e-4
Monocytic lineage	N1025	0.5490429982812223
Myeloid dendritic cells	N1025	-0.05445138601595406
Neutrophils	N1025	0.7860768399290214
Endothelial cells	N1025	-0.012178027033441008
Fibroblasts	N1025	0.15118699248529865
T cells	N1030	0.14895553777493228
CD8 T cells	N1030	-0.0394872590536182
Cytotoxic lymphocytes	N1030	-0.12199090020713155
NK cells	N1030	-0.02568094801491498
B lineage	N1030	0.04552976239537831
Monocytic lineage	N1030	0.5938451321725501
Myeloid dendritic cells	N1030	-0.03232794850303912
Neutrophils	N1030	1.3598974639628172
Endothelial cells	N1030	-0.022884957651881647
Fibroblasts	N1030	0.1334749672005517
T cells	N1033	0.09452925956445214
CD8 T cells	N1033	-0.150228531061047
Cytotoxic lymphocytes	N1033	0.049533849830382073
NK cells	N1033	-0.029488651216529427
B lineage	N1033	0.05090012889478937
Monocytic lineage	N1033	0.8887754387961685
Myeloid dendritic cells	N1033	-0.005814678437801624
Neutrophils	N1033	1.3570716989184752
Endothelial cells	N1033	-0.024068663019716077
Fibroblasts	N1033	0.04512736305926322
T cells	N1006	0.06255380855036226
CD8 T cells	N1006	-0.0251970496164845
Cytotoxic lymphocytes	N1006	-0.08295087381541602
NK cells	N1006	-0.06256987370705933
B lineage	N1006	0.1086407136765197
Monocytic lineage	N1006	0.4672945711983616
Myeloid dendritic cells	N1006	-0.012598927359629707
Neutrophils	N1006	1.0102154958548244
Endothelial cells	N1006	-0.04606443520472417
Fibroblasts	N1006	0.15653912211886847
T cells	N1009	0.1334100032896639
CD8 T cells	N1009	-0.0715022261754949
Cytotoxic lymphocytes	N1009	-0.015290356770233873
NK cells	N1009	-0.064831615202151055
B lineage	N1009	0.12323898945277424
Monocytic lineage	N1009	0.23254876180481468
Myeloid dendritic cells	N1009	-0.06055304158847076
Neutrophils	N1009	0.5975121957597126
Endothelial cells	N1009	0.04203592283443211
Fibroblasts	N1009	0.08903635433702183
T cells	N1011	0.15874031076520503
CD8 T cells	N1011	-0.13307460112565
Cytotoxic lymphocytes	N1011	-0.08438343161844135
NK cells	N1011	-0.016247737295576402
B lineage	N1011	-0.004314243488515778
Monocytic lineage	N1011	0.7420325731894286
