Cell_type	Sample	MCP_estimate
Myeloid dendritic cells	N1011	-0.02052190437721816
Neutrophils	N1011	0.9943526857319637
Endothelial cells	N1011	-0.03575476981319037
Fibroblasts	N1011	-0.02233997921984676
T cells	N1012	0.1399506812626201
CD8 T cells	N1012	-0.0885831542418948
Cytotoxic lymphocytes	N1012	0.0276688202676266
NK cells	N1012	-0.06432424857109231
B lineage	N1012	0.05778786138058621
Monocytic lineage	N1012	0.4645075138269271
Myeloid dendritic cells	N1012	-0.0376432258180382
Neutrophils	N1012	0.7258910092165026
Endothelial cells	N1012	0.007875872187226046
Fibroblasts	N1012	0.1694361624594196
T cells	N1014	0.2645355612996296
CD8 T cells	N1014	-0.0163110959641557
Cytotoxic lymphocytes	N1014	0.09655420109794052
NK cells	N1014	-0.07825131859332841
B lineage	N1014	0.15287953322411535
Monocytic lineage	N1014	0.5335306680784775
Myeloid dendritic cells	N1014	-0.0388506519608453
Neutrophils	N1014	0.6361581703685701
Endothelial cells	N1014	-0.06797846902206059
Fibroblasts	N1014	0.028631159066634913
T cells	N1015	0.17810484940197102
CD8 T cells	N1015	-0.10219112295736
Cytotoxic lymphocytes	N1015	0.02361161253553152
NK cells	N1015	-0.008189910724700667
B lineage	N1015	0.05041356417427099
Monocytic lineage	N1015	0.6397983623056561
Myeloid dendritic cells	N1015	-0.01974134277850922
Neutrophils	N1015	1.1279435856529139
Endothelial cells	N1015	-0.02938429099937468
Fibroblasts	N1015	0.005147047219176987
T cells	N1018	0.10208880215593956
CD8 T cells	N1018	-0.0989519371265511
Cytotoxic lymphocytes	N1018	-0.04204877851084042
NK cells	N1018	-0.11632945544068028
B lineage	N1018	0.035291599755226256
Monocytic lineage	N1018	0.3856679915625881
Myeloid dendritic cells	N1018	-0.050079085307855785
Neutrophils	N1018	0.7547870345802217
Endothelial cells	N1018	-0.017815218733872325
Fibroblasts	N1018	0.2238297075747022
T cells	N1021	0.0951766797351772
CD8 T cells	N1021	-0.145055217769313
Cytotoxic lymphocytes	N1021	-0.061273908669368514
NK cells	N1021	-0.15857636861326138
B lineage	N1021	-0.03887620391233309
Monocytic lineage	N1021	0.47097794539908944
Myeloid dendritic cells	N1021	-0.11194865343864457
Neutrophils	N1021	0.5878622740566416
Endothelial cells	N1021	-0.014530222582292916
Fibroblasts	N1021	0.23320945114680103
T cells	N1026	0.013633527617709994
CD8 T cells	N1026	-0.179043793620347
Cytotoxic lymphocytes	N1026	-0.08292105546827656
NK cells	N1026	-0.08046710868610345
B lineage	N1026	0.04851324121638971
Monocytic lineage	N1026	0.3854703159206699
Myeloid dendritic cells	N1026	-0.059001332438654755
Neutrophils	N1026	0.7056481943928885
Endothelial cells	N1026	-0.005919955550430277
Fibroblasts	N1026	0.1193069729318508
T cells	N1029	0.260582697271746
CD8 T cells	N1029	-0.173957243853662
Cytotoxic lymphocytes	N1029	-0.0702492905206087
NK cells	N1029	-0.10665291087055993
B lineage	N1029	-0.027212622187853832
Monocytic lineage	N1029	0.6587474135567817
Myeloid dendritic cells	N1029	0.03936305888191435
Neutrophils	N1029	0.817425000257584
Endothelial cells	N1029	-0.08204716944691934
Fibroblasts	N1029	0.13620072213595993
T cells	N1001	0.13957245414250247
CD8 T cells	N1001	-0.215259862896401
Cytotoxic lymphocytes	N1001	-0.002724032492214684
NK cells	N1001	-0.13185378597415132
B lineage	N1001	-0.002551291203726381
Monocytic lineage	N1001	0.4193504582448979
Myeloid dendritic cells	N1001	-0.018037023640118055
Neutrophils	N1001	0.7186420453370905
Endothelial cells	N1001	-0.021464889839353768
Fibroblasts	N1001	0.0081796368499482
T cells	N1002	0.2726293083279593
CD8 T cells	N1002	-0.115305992971578
Cytotoxic lymphocytes	N1002	0.3020882627742072
NK cells	N1002	0.016447874059491954
B lineage	N1002	0.32660980586541866
Monocytic lineage	N1002	0.6257414827491823
Myeloid dendritic cells	N1002	-0.03785581187419052
Neutrophils	N1002	0.7375141452112803
Endothelial cells	N1002	-0.031177771122862637
Fibroblasts	N1002	0.03856248194979466
T cells	N1013	0.19852206378302417
CD8 T cells	N1013	-0.113082519756777
Cytotoxic lymphocytes	N1013	-0.044344778863295284
NK cells	N1013	-0.10412297544499223
B lineage	N1013	-0.019180038327031385
Monocytic lineage	N1013	0.42199174745473367
Myeloid dendritic cells	N1013	-0.049988592314910325
Neutrophils	N1013	0.7493454638309954
Endothelial cells	N1013	-0.01901827960326157
Fibroblasts	N1013	0.057789539964855544
T cells	N1016	0.18823245467404917
CD8 T cells	N1016	0.0256494118645124
Cytotoxic lymphocytes	N1016	-0.029665256082734313
NK cells	N1016	-0.058619875155029984
B lineage	N1016	0.04227363271737411
Monocytic lineage	N1016	0.6033475217059348
Myeloid dendritic cells	N1016	-0.04775975054630354
Neutrophils	N1016	1.3700044792346944
Endothelial cells	N1016	-0.011237881617225
Fibroblasts	N1016	0.37808591995077545
T cells	N1019	0.11349758416855664
CD8 T cells	N1019	-0.091561900140068
Cytotoxic lymphocytes	N1019	-0.07681060293181591
NK cells	N1019	-0.09764512386344014
B lineage	N1019	0.02793625429525983
Monocytic lineage	N1019	0.2888599541992098
Myeloid dendritic cells	N1019	-0.0926556889784763
Neutrophils	N1019	0.6898124416899147
Endothelial cells	N1019	0.02236385759244476
Fibroblasts	N1019	0.08750479252687432
T cells	N1024	0.2358800199759575
CD8 T cells	N1024	0.0435838238221272
Cytotoxic lymphocytes	N1024	0.15805896268939612
NK cells	N1024	-0.038880164226661386
B lineage	N1024	0.06590724816281633
Monocytic lineage	N1024	0.8390538548416482
Myeloid dendritic cells	N1024	-0.020722192832771002
Neutrophils	N1024	0.7263579737028704
Endothelial cells	N1024	-0.018632521304874285
Fibroblasts	N1024	0.14450592688982142
T cells	N1027	0.07938767237004606
CD8 T cells	N1027	-0.12184384296699
Cytotoxic lymphocytes	N1027	-0.07907261137656506
NK cells	N1027	-0.06898119472988617
B lineage	N1027	0.03279939092504774
Monocytic lineage	N1027	0.45131222988102687
Myeloid dendritic cells	N1027	0.0036400013278984904
Neutrophils	N1027	0.9285375133759787
Endothelial cells	N1027	-6.281328494187665e-4
Fibroblasts	N1027	0.13718888930040812
T cells	N1028	0.2637342491660706
CD8 T cells	N1028	-0.0326766472334433
Cytotoxic lymphocytes	N1028	0.026750102018446853
NK cells	N1028	-0.03665143534420593
B lineage	N1028	0.08314925424466282
Monocytic lineage	N1028	0.48552363075578586
Myeloid dendritic cells	N1028	-0.07861268818293525
Neutrophils	N1028	1.034645822446091
Endothelial cells	N1028	-0.009740975744403657
Fibroblasts	N1028	0.10167281623488578
T cells	N1031	0.05571587337645483
CD8 T cells	N1031	-0.0813057340108369
Cytotoxic lymphocytes	N1031	-0.10710490436642962
NK cells	N1031	-0.09532938247126993
B lineage	N1031	0.008365022064637448
Monocytic lineage	N1031	0.5929439188841574
Myeloid dendritic cells	N1031	-0.10061261384578087
Neutrophils	N1031	1.5103449912228755
Endothelial cells	N1031	-0.028238108779850758
Fibroblasts	N1031	0.10873500710002275
T cells	N1032	0.08950944744879245
CD8 T cells	N1032	-0.170040826770114
Cytotoxic lymphocytes	N1032	-0.08318672379091772
NK cells	N1032	-0.043110555342741205
B lineage	N1032	0.05800803954977352
Monocytic lineage	N1032	0.3593346089907408
Myeloid dendritic cells	N1032	-0.01786715980931022
Neutrophils	N1032	0.5509098684987771
Endothelial cells	N1032	-0.004387907226076134
Fibroblasts	N1032	0.07048619351235307
T cells	N1034	0.1415057053229685
CD8 T cells	N1034	-0.0811433027903279
Cytotoxic lymphocytes	N1034	-0.04267291923949386
NK cells	N1034	-0.03671633880942565
B lineage	N1034	0.022046372753618346
Monocytic lineage	N1034	0.5743684182110467
Myeloid dendritic cells	N1034	-0.056127416078165966
Neutrophils	N1034	1.2126612582104723
Endothelial cells	N1034	-0.015174602474199652
Fibroblasts	N1034	0.22035161711949167
T cells	N1036	0.04957379735468994
CD8 T cells	N1036	-0.155220388708547
Cytotoxic lymphocytes	N1036	-0.08650148049004647
NK cells	N1036	-0.0402274294847003
B lineage	N1036	0.09267865931757706
Monocytic lineage	N1036	0.43935516631584204
Myeloid dendritic cells	N1036	-0.041827666688556885
Neutrophils	N1036	0.8771931972767409
Endothelial cells	N1036	-0.014006482544273988
Fibroblasts	N1036	0.09564131716488625
T cells	N1037	0.13209530359699934
CD8 T cells	N1037	-0.114962525846076
Cytotoxic lymphocytes	N1037	-0.07799623172810781
NK cells	N1037	-0.06909039724900429
B lineage	N1037	-0.007789801594270132
Monocytic lineage	N1037	0.8282492014362499
Myeloid dendritic cells	N1037	-0.049393804613763616
Neutrophils	N1037	0.8859445882134018
Endothelial cells	N1037	-0.04549306820839403
Fibroblasts	N1037	0.20943865402634948
T cells	N1038	0.07246699404525499
CD8 T cells	N1038	-0.112897133686309
Cytotoxic lymphocytes	N1038	-0.09464457300773672
NK cells	N1038	-0.0893567467503731
B lineage	N1038	0.045638602127232704
Monocytic lineage	N1038	0.20990720123645654
Myeloid dendritic cells	N1038	-6.729148504744223e-4
Neutrophils	N1038	0.5349370103359489
Endothelial cells	N1038	-0.03547379563769202
Fibroblasts	N1038	0.0460962998957144
T cells	N1040	0.09873787965145138
CD8 T cells	N1040	-0.181362633046754
Cytotoxic lymphocytes	N1040	-0.06583677235554208
NK cells	N1040	0.015984599475327075
B lineage	N1040	0.13010854117089607
Monocytic lineage	N1040	0.6496038505771047
Myeloid dendritic cells	N1040	0.05234502543861544
Neutrophils	N1040	1.3128818088612408
Endothelial cells	N1040	-0.04600342114527883
Fibroblasts	N1040	0.03622172743842538
T cells	N1041	0.12079909579669307
CD8 T cells	N1041	-0.0501272684413876
Cytotoxic lymphocytes	N1041	-0.037522493161944746
NK cells	N1041	-0.10137734756372808
B lineage	N1041	0.029952958839893712
Monocytic lineage	N1041	0.402759944379161
Myeloid dendritic cells	N1041	-0.07020621681024795
Neutrophils	N1041	0.6976355429032444
Endothelial cells	N1041	-0.03347726706659558
Fibroblasts	N1041	0.07068163320709327
T cells	N1093	0.177590710075828
CD8 T cells	N1093	-0.0154293798379126
Cytotoxic lymphocytes	N1093	0.1524556733043555
NK cells	N1093	-0.053640109031163466
B lineage	N1093	-0.006161057741984718
Monocytic lineage	N1093	0.46507882502642217
Myeloid dendritic cells	N1093	0.026860644310141815
Neutrophils	N1093	0.584759263739475
Endothelial cells	N1093	-0.00899848712009586
Fibroblasts	N1093	0.11470968164327426
T cells	N1003	0.25172163589008956
CD8 T cells	N1003	-0.0861423448862047
Cytotoxic lymphocytes	N1003	0.02948449154591907
NK cells	N1003	-0.04891854950225543
B lineage	N1003	0.4286809658538091
Monocytic lineage	N1003	0.7375477074339284
Myeloid dendritic cells	N1003	0.005005083462118248
Neutrophils	N1003	1.2618211347152866
Endothelial cells	N1003	-0.029378200080319015
Fibroblasts	N1003	0.21490550444863432
T cells	N1042A	0.2580731698861921
CD8 T cells	N1042A	0.0475195119126025
Cytotoxic lymphocytes	N1042A	0.10976376126685064
NK cells	N1042A	-0.06573044175091951
B lineage	N1042A	0.26322642948657965
Monocytic lineage	N1042A	0.5670956462930037
Myeloid dendritic cells	N1042A	-0.07204474873060672
Neutrophils	N1042A	0.6836431067186282
Endothelial cells	N1042A	0.0027897968030843176
Fibroblasts	N1042A	0.16312860404968144
T cells	N1043B	0.06257119423580705
CD8 T cells	N1043B	-0.0909737962661012
Cytotoxic lymphocytes	N1043B	-0.07676356343803789
NK cells	N1043B	-0.08385843883472593
B lineage	N1043B	0.021491630653882394
Monocytic lineage	N1043B	0.39179307088082577
Myeloid dendritic cells	N1043B	-0.05135226071816753
Neutrophils	N1043B	0.6274812581382435
Endothelial cells	N1043B	-0.03035149161230066
Fibroblasts	N1043B	0.10903619935552279
T cells	N1044B	0.1247656492289198
CD8 T cells	N1044B	-0.142914731861015
Cytotoxic lymphocytes	N1044B	-0.080339218665021625
NK cells	N1044B	-0.010935425984805196
B lineage	N1044B	0.06483980689623217
Monocytic lineage	N1044B	0.7384686445913642
Myeloid dendritic cells	N1044B	-0.032819480141503356
Neutrophils	N1044B	2.0602201861264744
Endothelial cells	N1044B	-0.052273599588708676
Fibroblasts	N1044B	0.03685550226646346
T cells	N1048B	0.1514345424167285
CD8 T cells	N1048B	-0.0660881818437554
Cytotoxic lymphocytes	N1048B	-0.10853733632999245
NK cells	N1048B	0.09410143000403275
B lineage	N1048B	0.02275991522853247
Monocytic lineage	N1048B	0.3417783597614669
Myeloid dendritic cells	N1048B	0.015550301664591263
Neutrophils	N1048B	2.517325221898352
Endothelial cells	N1048B	-0.049553678697830623
Fibroblasts	N1048B	-0.012676313116781662
T cells	N1050A	0.14689970283620435
CD8 T cells	N1050A	-0.0585259976362151
Cytotoxic lymphocytes	N1050A	-0.02772066279619184
NK cells	N1050A	-0.08217073871361795
B lineage	N1050A	0.026444669719623032
Monocytic lineage	N1050A	0.6169986931086819
Myeloid dendritic cells	N1050A	-0.09527691928549682
Neutrophils	N1050A	0.769817193171202
Endothelial cells	N1050A	-0.03753836632348971
Fibroblasts	N1050A	0.03834599951681984
T cells	N1052A	0.058202963833100904
CD8 T cells	N1052A	-0.119636830002698
Cytotoxic lymphocytes	N1052A	-0.07341917629141118
NK cells	N1052A	-0.05092976117154574
B lineage	N1052A	0.014963679585828995
Monocytic lineage	N1052A	0.6307472189299773
Myeloid dendritic cells	N1052A	-0.03199671009234694
Neutrophils	N1052A	0.6861353485352798
Endothelial cells	N1052A	-0.004001113580004205
Fibroblasts	N1052A	0.1486096362075824
T cells	N1053B	0.1895557232809236
CD8 T cells	N1053B	-0.0638623551662649
Cytotoxic lymphocytes	N1053B	-0.07403326927582037
NK cells	N1053B	-0.0488533232862617
B lineage	N1053B	0.008359666394305583
Monocytic lineage	N1053B	0.7382015635642717
Myeloid dendritic cells	N1053B	-0.06066543736496097
Neutrophils	N1053B	0.8286967916719642
Endothelial cells	N1053B	-0.06029484318371072
Fibroblasts	N1053B	-0.017908938206732637
T cells	N1055B	0.20367161832349995
CD8 T cells	N1055B	-0.0737605134912694
Cytotoxic lymphocytes	N1055B	-0.032381822649599795
NK cells	N1055B	-0.08425722840607285
B lineage	N1055B	0.045181827486726105
Monocytic lineage	N1055B	0.5680581256172402
Myeloid dendritic cells	N1055B	-0.08816067818514661
Neutrophils	N1055B	1.0640855221076901
Endothelial cells	N1055B	-0.04651333296115533
Fibroblasts	N1055B	0.04750088606202374
T cells	N1057A	0.11451107273992005
CD8 T cells	N1057A	-0.112617006051229
Cytotoxic lymphocytes	N1057A	-0.072477290038572
NK cells	N1057A	-0.10548202541420258
B lineage	N1057A	0.016688014429361447
Monocytic lineage	N1057A	0.8227055571720239
Myeloid dendritic cells	N1057A	-0.08573994140409906
Neutrophils	N1057A	0.7146623141443353
Endothelial cells	N1057A	-0.03624828320029193
Fibroblasts	N1057A	0.32251272189764785
T cells	N1058	0.24213888905490205
CD8 T cells	N1058	-0.0811691652063559
Cytotoxic lymphocytes	N1058	0.029428699635968236
NK cells	N1058	-0.09182635833621992
B lineage	N1058	0.085956815101965
Monocytic lineage	N1058	0.6195629815144109
Myeloid dendritic cells	N1058	0.01186751945921288
Neutrophils	N1058	0.7225350496252065
Endothelial cells	N1058	8.121280882165599e-4
Fibroblasts	N1058	0.5154524115766473
T cells	N1060	0.005404209757736441
CD8 T cells	N1060	-0.0789737269056297
Cytotoxic lymphocytes	N1060	-0.11585949926446339
NK cells	N1060	-0.12349795918792876
B lineage	N1060	0.0021576070712918207
Monocytic lineage	N1060	0.25342378018839373
Myeloid dendritic cells	N1060	-0.12643603693470573
Neutrophils	N1060	0.5842558805340583
Endothelial cells	N1060	-0.04011319445914238
Fibroblasts	N1060	0.08066806458415632
T cells	N1061	0.132808629679699
CD8 T cells	N1061	-0.192987102400849
Cytotoxic lymphocytes	N1061	-0.08877051539932056
NK cells	N1061	-0.0276650886278821
B lineage	N1061	0.19003521155108383
Monocytic lineage	N1061	0.5635662886881555
Myeloid dendritic cells	N1061	-0.04125458078084314
Neutrophils	N1061	1.366254133078421
Endothelial cells	N1061	0.0010963769796417803
Fibroblasts	N1061	0.24634036478778995
T cells	N1064	0.15961854830720468
CD8 T cells	N1064	-0.139878275419222
Cytotoxic lymphocytes	N1064	-0.1001976643462365
NK cells	N1064	-0.0251914362829706
B lineage	N1064	-0.0084887904746226
Monocytic lineage	N1064	0.42465627877099243
Myeloid dendritic cells	N1064	-0.06672139141810504
Neutrophils	N1064	1.5564578852542856
Endothelial cells	N1064	-0.04320311029897375
Fibroblasts	N1064	-0.01033417594530554
T cells	N1066	0.10270607414486224
CD8 T cells	N1066	-0.207181556197968
Cytotoxic lymphocytes	N1066	-0.06451578218896548
NK cells	N1066	-0.11802708508369526
B lineage	N1066	0.0384741292890014
Monocytic lineage	N1066	0.3401585876463897
Myeloid dendritic cells	N1066	0.0099528657868258
Neutrophils	N1066	0.9342706026409362
Endothelial cells	N1066	-0.02190606016612592
Fibroblasts	N1066	0.08215080357251592
T cells	N1068	0.04568830107496938
CD8 T cells	N1068	-0.0600743111237792
Cytotoxic lymphocytes	N1068	-0.0697647464761748
NK cells	N1068	-0.06253880317720359
B lineage	N1068	-0.009900168092969822
Monocytic lineage	N1068	0.45975476004189153
Myeloid dendritic cells	N1068	-0.10079307214657975
Neutrophils	N1068	0.5455431283005063
Endothelial cells	N1068	-0.0209254428275999
Fibroblasts	N1068	0.0121088933446077
T cells	N1069	0.307376749226326
CD8 T cells	N1069	0.00851038594921311
Cytotoxic lymphocytes	N1069	0.1568841508410216
NK cells	N1069	-0.04315132967549165
B lineage	N1069	0.08913211483895973
Monocytic lineage	N1069	0.6094143359242613
Myeloid dendritic cells	N1069	0.1383383038290534
Neutrophils	N1069	0.6030906798009379
Endothelial cells	N1069	0.013228981058397054
Fibroblasts	N1069	0.03772639186450567
T cells	N1070	0.2776584035649477
CD8 T cells	N1070	-0.0867883996099074
Cytotoxic lymphocytes	N1070	0.10436295918387455
NK cells	N1070	-0.0822319051308916
B lineage	N1070	0.10424863314284048
Monocytic lineage	N1070	0.6573056877330536
Myeloid dendritic cells	N1070	-0.020846161231376413
Neutrophils	N1070	0.6642388332824808
Endothelial cells	N1070	-4.1733448962266825e-4
Fibroblasts	N1070	0.050546084158848655
T cells	N1073	0.0997337263096013
CD8 T cells	N1073	-0.166923825047114
Cytotoxic lymphocytes	N1073	-0.05237511674737655
NK cells	N1073	-0.11017175939462175
B lineage	N1073	0.016881639544288
Monocytic lineage	N1073	0.4552851570969745
Myeloid dendritic cells	N1073	-0.06526367259791226
Neutrophils	N1073	0.8098102750338024
Endothelial cells	N1073	0.010609947387072771
Fibroblasts	N1073	0.09512287436212075
T cells	N1074	0.21516224378273452
CD8 T cells	N1074	-0.078737875264882
Cytotoxic lymphocytes	N1074	-0.042185891199564673
NK cells	N1074	-0.07406804449862568
B lineage	N1074	0.07457118565706189
Monocytic lineage	N1074	0.5889596697362985
Myeloid dendritic cells	N1074	-9.817403675411065e-4
Neutrophils	N1074	1.0013960552663896
Endothelial cells	N1074	-0.025893486885246834
Fibroblasts	N1074	0.0862296919916857
T cells	N1081	0.08568679593616628
CD8 T cells	N1081	-0.0813983215056473
Cytotoxic lymphocytes	N1081	-0.049517395627916336
NK cells	N1081	-0.09383952115092288
B lineage	N1081	-0.011907746941980851
Monocytic lineage	N1081	0.43304064094971245
Myeloid dendritic cells	N1081	0.006845761342125477
Neutrophils	N1081	0.5864721554923595
Endothelial cells	N1081	-0.021453349546023157
Fibroblasts	N1081	0.08706866259693842
T cells	N1082	0.11026043790140073
CD8 T cells	N1082	-0.105881133443622
Cytotoxic lymphocytes	N1082	-0.059965657649459186
NK cells	N1082	-0.031316112239582666
B lineage	N1082	0.03098463834384942
Monocytic lineage	N1082	0.47480061514930755
Myeloid dendritic cells	N1082	-0.06584696557521769
Neutrophils	N1082	0.7086823329764186
Endothelial cells	N1082	-0.008666608125608214
Fibroblasts	N1082	-0.02590927573676257
T cells	N1086	0.14540029035669041
CD8 T cells	N1086	-0.185815320602857
Cytotoxic lymphocytes	N1086	-0.06479841225257224
NK cells	N1086	-0.11044429245662571
B lineage	N1086	0.06626222954497772
Monocytic lineage	N1086	0.47787486896680104
Myeloid dendritic cells	N1086	-0.0978857170850761
Neutrophils	N1086	0.6479659616417366
Endothelial cells	N1086	-0.007248450213775179
Fibroblasts	N1086	0.21080343475327096
T cells	N1087	0.07627353179768075
CD8 T cells	N1087	-0.132084188126848
Cytotoxic lymphocytes	N1087	-7.507904509202542e-4
NK cells	N1087	-0.11785424467822234
B lineage	N1087	-0.019107946885694053
Monocytic lineage	N1087	0.2804680123437854
Myeloid dendritic cells	N1087	-0.09284495384542434
Neutrophils	N1087	0.6022972216897347
Endothelial cells	N1087	0.021728364440206874
Fibroblasts	N1087	-0.0012343392816544323
T cells	N1088	0.17115631931701003
CD8 T cells	N1088	-0.0846955151067099
Cytotoxic lymphocytes	N1088	0.0030349682709611457
NK cells	N1088	0.0015836641594376252
B lineage	N1088	0.005817026162055795
Monocytic lineage	N1088	0.6304477209378653
Myeloid dendritic cells	N1088	-0.054039950500059275
Neutrophils	N1088	1.4336758413919222
Endothelial cells	N1088	4.251776796289324e-5
Fibroblasts	N1088	0.02788431009299415
T cells	N1091	0.11098531623955794
CD8 T cells	N1091	-0.0966828824295851
Cytotoxic lymphocytes	N1091	0.06550275260463116
NK cells	N1091	-0.0750234490275917
B lineage	N1091	-0.025591530047113217
Monocytic lineage	N1091	0.4999690596385948
Myeloid dendritic cells	N1091	-0.026573289608003883
Neutrophils	N1091	0.8473578863755877
Endothelial cells	N1091	-0.015134665216318146
Fibroblasts	N1091	0.218639425365865
T cells	N1092	0.08814172214523014
CD8 T cells	N1092	-0.0923046166093424
Cytotoxic lymphocytes	N1092	-0.01202323883936312
NK cells	N1092	-0.07569303456477577
B lineage	N1092	-0.01802770043914276
Monocytic lineage	N1092	0.4072239717330347
Myeloid dendritic cells	N1092	-0.02786306650935382
Neutrophils	N1092	0.5673880817556757
Endothelial cells	N1092	-0.022283637830598377
Fibroblasts	N1092	0.054457406126236244
T cells	N1094	0.08941633137982088
CD8 T cells	N1094	-0.141139541997355
Cytotoxic lymphocytes	N1094	-0.08079733079729541
NK cells	N1094	-0.1252634252394323
B lineage	N1094	0.02079515539990413
Monocytic lineage	N1094	0.25770690619822434
Myeloid dendritic cells	N1094	-0.13259012583083707
Neutrophils	N1094	0.5331963403070097
Endothelial cells	N1094	0.005202143956819213
Fibroblasts	N1094	0.11852915607111629
T cells	N1095	0.03770985319247284
CD8 T cells	N1095	-0.127671840063553
Cytotoxic lymphocytes	N1095	-0.10087982771228877
NK cells	N1095	-0.13769034155899273
B lineage	N1095	0.012435355086628741
Monocytic lineage	N1095	0.36152915757365794
Myeloid dendritic cells	N1095	-0.1114590748398767
Neutrophils	N1095	0.8049649198181094
Endothelial cells	N1095	0.006024647348382515
Fibroblasts	N1095	0.14959589866484937
T cells	N1096	0.06934118394368714
CD8 T cells	N1096	-0.11294871126193
Cytotoxic lymphocytes	N1096	-0.042515074380200954
NK cells	N1096	-0.11516319536610932
B lineage	N1096	-0.018874257466853638
Monocytic lineage	N1096	0.3776020927899185
Myeloid dendritic cells	N1096	-0.12788636878696596
Neutrophils	N1096	0.7542017830071844
Endothelial cells	N1096	0.010869425684189549
Fibroblasts	N1096	0.20999043067149717
T cells	N1097	0.06781218273046652
CD8 T cells	N1097	-0.139507462451335
Cytotoxic lymphocytes	N1097	-0.04771815953004054
NK cells	N1097	-0.10229356468938289
B lineage	N1097	-0.013954279093677706
Monocytic lineage	N1097	0.32026152256563983
Myeloid dendritic cells	N1097	-0.05654471866831663
Neutrophils	N1097	0.6420019105390271
Endothelial cells	N1097	0.02170524810645194
Fibroblasts	N1097	0.13821432544071927
T cells	N1098	0.08507146329281311
CD8 T cells	N1098	-0.164397846018502
Cytotoxic lymphocytes	N1098	-0.09827509193401901
NK cells	N1098	-0.09789690879678614
B lineage	N1098	-0.0036381605110170877
Monocytic lineage	N1098	0.3553940309640287
Myeloid dendritic cells	N1098	-0.017148747720333327
