Source Name	Summary	Module
GSM955680_DNA10204-001.CEL	0.20871356200776667	M1.2
GSM955681_DNA10204-003.CEL	0.22592597692109231	M1.2
GSM955682_DNA10204-005.CEL	0.2183612634861064	M1.2
GSM955683_DNA10204-007.CEL	0.1935376119683217	M1.2
GSM955684_DNA10204-011.CEL	0.21725148247130827	M1.2
GSM955685_DNA10204-013.CEL	0.16762679146703355	M1.2
GSM955686_DNA10204-015.CEL	0.1931839965274012	M1.2
GSM955687_DNA10204-017.CEL	0.2045091903103238	M1.2
GSM955688_DNA10204-019.CEL	0.14714443699198587	M1.2
GSM955689_DNA10204-021.CEL	0.1579970534916621	M1.2
GSM955690_DNA10204-023.CEL	0.2669145011484453	M1.2
GSM955691_DNA10204-025.CEL	0.11686010481320558	M1.2
GSM955692_DNA10204-028.CEL	0.1756999813900746	M1.2
GSM955693_DNA10204-031.CEL	0.27934246498952026	M1.2
GSM955694_DNA10204-033.CEL	0.13381768313941977	M1.2
GSM955695_DNA10204-035.CEL	0.11175485959856528	M1.2
GSM955696_DNA10204-037.CEL	0.2980020928216868	M1.2
GSM955697_DNA10204-039.CEL	0.18845791880749568	M1.2
GSM955698_DNA10204-041.CEL	0.14113882692136578	M1.2
GSM955699_DNA10204-043.CEL	0.18374912389888964	M1.2
GSM955700_DNA10204-045.CEL	0.1775009348157405	M1.2
GSM955701_DNA10204-047.CEL	0.14057100067552594	M1.2
GSM955702_DNA10204-049.CEL	0.07196266465242851	M1.2
GSM955703_DNA10204-051.CEL	0.1120175783975905	M1.2
GSM955704_DNA10204-053.CEL	0.14078379952852046	M1.2
GSM955705_DNA10204-055.CEL	0.19853168702323487	M1.2
GSM955706_DNA10204-057.CEL	0.14398500778810838	M1.2
GSM955707_DNA10204-059.CEL	0.1823200139465043	M1.2
GSM955708_DNA10204-061.CEL	0.17407463492904773	M1.2
GSM955709_DNA10204-063.CEL	0.227225176954732	M1.2
GSM955710_DNA10204-065.CEL	0.18965122150890074	M1.2
GSM955711_DNA10204-067.CEL	0.1489497278786294	M1.2
GSM955712_DNA10204-069.CEL	0.12451611860661135	M1.2
GSM955713_DNA10204-071.CEL	0.3020167106665178	M1.2
GSM955714_DNA10204-073.CEL	0.11055276426205901	M1.2
GSM955715_DNA10204-075.CEL	0.13899444732640226	M1.2
GSM955716_DNA10204-077.CEL	0.22205776753791415	M1.2
GSM955717_DNA10204-079.CEL	0.17741909882353585	M1.2
GSM955718_DNA10204-081.CEL	0.15381689793480768	M1.2
GSM955719_DNA10204-083.CEL	0.503082856966907	M1.2
GSM955720_DNA10204-085.CEL	0.12124870406355405	M1.2
GSM955721_DNA10204-087.CEL	0.18066849410168204	M1.2
