model	pathway_coverage_type	value
SLE-WB_PLIER_2876	pathway	0.2229299363057325
SLE-WB_PLIER_2876	lv	0.425
SLE-WB_PLIER_2876	sig.pathway.by.lv	0.875
SLE-WB_PLIER_7883	pathway	0.19904458598726116
SLE-WB_PLIER_7883	lv	0.4527027027027027
SLE-WB_PLIER_7883	sig.pathway.by.lv	0.8445945945945946
SLE-WB_PLIER_4089	pathway	0.21656050955414013
SLE-WB_PLIER_4089	lv	0.44594594594594594
SLE-WB_PLIER_4089	sig.pathway.by.lv	0.918918918918919
SLE-WB_PLIER_8828	pathway	0.2070063694267516
SLE-WB_PLIER_8828	lv	0.4797297297297297
SLE-WB_PLIER_8828	sig.pathway.by.lv	0.8783783783783784
SLE-WB_PLIER_9401	pathway	0.23089171974522293
SLE-WB_PLIER_9401	lv	0.4875
SLE-WB_PLIER_9401	sig.pathway.by.lv	0.90625
SLE-WB_PLIER_456	pathway	0.21019108280254778
SLE-WB_PLIER_456	lv	0.4594594594594595
SLE-WB_PLIER_456	sig.pathway.by.lv	0.8918918918918919
SLE-WB_PLIER_5278	pathway	0.21337579617834396
SLE-WB_PLIER_5278	lv	0.45625
SLE-WB_PLIER_5278	sig.pathway.by.lv	0.8375
SLE-WB_PLIER_8918	pathway	0.20222929936305734
SLE-WB_PLIER_8918	lv	0.46938775510204084
SLE-WB_PLIER_8918	sig.pathway.by.lv	0.8639455782312925
SLE-WB_PLIER_5510	pathway	0.18789808917197454
SLE-WB_PLIER_5510	lv	0.43333333333333335
SLE-WB_PLIER_5510	sig.pathway.by.lv	0.7866666666666666
SLE-WB_PLIER_4563	pathway	0.18789808917197454
SLE-WB_PLIER_4563	lv	0.47183098591549294
SLE-WB_PLIER_4563	sig.pathway.by.lv	0.8309859154929577
