model	pathway_coverage_type	value
recount2_subsampled_2876	pathway	0.17834394904458598
recount2_subsampled_2876	lv	0.5535714285714286
recount2_subsampled_2876	sig.pathway.by.lv	2
recount2_subsampled_4089	pathway	0.23885350318471338
recount2_subsampled_4089	lv	0.4752475247524752
recount2_subsampled_4089	sig.pathway.by.lv	1.4851485148514851
recount2_subsampled_456	pathway	0.21656050955414013
recount2_subsampled_456	lv	0.5180722891566265
recount2_subsampled_456	sig.pathway.by.lv	1.6385542168674698
recount2_subsampled_4563	pathway	0.2372611464968153
recount2_subsampled_4563	lv	0.5
recount2_subsampled_4563	sig.pathway.by.lv	1.5851063829787233
recount2_subsampled_5278	pathway	0.20222929936305734
recount2_subsampled_5278	lv	0.5060240963855421
recount2_subsampled_5278	sig.pathway.by.lv	1.5301204819277108
recount2_subsampled_5510	pathway	0.22452229299363058
recount2_subsampled_5510	lv	0.5148514851485149
recount2_subsampled_5510	sig.pathway.by.lv	1.396039603960396
recount2_subsampled_7883	pathway	0.2197452229299363
recount2_subsampled_7883	lv	0.5543478260869565
recount2_subsampled_7883	sig.pathway.by.lv	1.5
recount2_subsampled_8828	pathway	0.16401273885350318
recount2_subsampled_8828	lv	0.6046511627906976
recount2_subsampled_8828	sig.pathway.by.lv	2.395348837209302
recount2_subsampled_8918	pathway	0.18949044585987262
recount2_subsampled_8918	lv	0.5333333333333333
recount2_subsampled_8918	sig.pathway.by.lv	1.5866666666666667
recount2_subsampled_9401	pathway	0.2054140127388535
recount2_subsampled_9401	lv	0.5121951219512195
recount2_subsampled_9401	sig.pathway.by.lv	1.5731707317073171
