CD14_triad0058_1.CEL	CD14_triad0058_2.CEL	CD14_triad0058_3.CEL	CD14_triad0058_4.CEL	CD14_triad0058_5.CEL	CD14_triad0058_6.CEL	CD14_triad0058_7.CEL	CD14_triad0058_8.CEL	CD14_triad0062_10.CEL	CD14_triad0062_11.CEL	CD14_triad0062_9.CEL	CD14_triad0064_12.CEL	CD14_triad0064_13.CEL	CD14_triad0067_14.CEL	CD14_triad0067_15.CEL	CD14_triad0067_16.CEL	CD14_triad0067_17.CEL	CD14_triad0071_18.CEL	CD14_triad0071_19.CEL	CD16_triad0060_1.CEL	CD16_triad0060_10.CEL	CD16_triad0060_11.CEL	CD16_triad0060_12.CEL	CD16_triad0060_2.CEL	CD16_triad0060_3.CEL	CD16_triad0060_4.CEL	CD16_triad0060_5.CEL	CD16_triad0060_6.CEL	CD16_triad0060_7.CEL	CD16_triad0060_8.CEL	CD16_triad0060_9.CEL	CD4_triad0052_1.CEL	CD4_triad0052_2.CEL	CD4_triad0052_3.CEL	CD4_triad0052_4.CEL	CD4_triad0052_5.CEL	CD4_triad0070_10.CEL	CD4_triad0070_11.CEL	CD4_triad0070_6.CEL	CD4_triad0070_7.CEL	CD4_triad0070_8.CEL	CD4_triad0070_9.CEL	CD4_triad0071_12.CEL	CD4_triad0071_13.CEL	CD4_triad0072_14.CEL	CD4_triad0072_15.CEL	CD4_triad0072_16.CEL
1,REACTOME_MRNA_SPLICING	0.067106412303192	0.0496664532132241	0.0822996586270762	0.0789706211166532	0.0666092860614035	0.113726151115193	0.0602764175275827	0.074128733748047	-0.00785794457537951	0.0632647999730353	0.0496012481208118	0.0693681876282388	0.0175814444176457	0.0236716299853083	0.0287602187847599	0.0213973802455909	0.0199245729846486	0.075993687986709	0.085873489670129	-0.192695378458298	-0.209675516567319	-0.216240550669269	-0.179299821905429	-0.193852050656987	-0.118577322699019	-0.170435197717249	-0.19516735245671	-0.207394963252712	-0.193217382878199	-0.237299310700334	-0.194210426675616	0.110931581403795	0.0178121485823527	0.0593384220612826	0.0376413013141744	0.069982775922954	0.120400201979318	0.103713435333125	0.0903633219873892	0.0582441598898059	0.0480216267111644	0.144263119376981	0.127744065190308	0.14323878826403	0.0639931154737497	0.0246826584291728	0.0473321037836695
2,SVM Monocytes	0.232957060770067	0.254000190301781	0.212679441048984	0.257875145466425	0.22229414521866	0.264977049130887	0.287524536014699	0.220520916182572	0.314180136852543	0.257316820161204	0.240017684958947	0.290029998732917	0.355139789075353	0.267983119361852	0.22126898652032	0.266058787801076	0.23449535013505	0.267139549274462	0.287840908288946	-0.249489718928147	-0.164495179265448	-0.2066712576034	-0.203660975612029	-0.300416769941546	-0.250098908857791	-0.265714453994684	-0.227948197592594	-0.233415913358653	-0.238401149296672	-0.241474031282892	-0.194171894979888	-0.125878540883121	-0.146686247142018	-0.224766865844774	-0.128989805410962	-0.202970694277622	-0.0650804069669769	-0.138816909195422	-0.0514883438807603	-0.234956577152788	-0.185152115380576	0.047526062247269	-0.138578472606974	-0.176864422833911	-0.250613489063969	-0.184208712718866	0.029184376528471
3,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	-0.0116550908138653	-0.0146944491717073	-0.00904473102832228	-0.043604428120649	-0.00818773271331003	-0.0350428138927783	-0.0107389802507897	-0.00692542081133254	-0.0474728781720684	-0.0158318203773964	-0.0145028276284526	-0.0221539979511979	-0.0243088359197394	-0.0159713211742288	-0.0225468365734838	-0.0216904285581787	-0.0235102905423186	-0.0113548996867251	0.0110032911479037	-0.00150390512053666	-0.0698260488458238	-0.0346876074849079	-0.0442191848072744	0.0414284933742559	-0.0135598549425436	0.0529417336678972	-0.00970782016454029	-0.0141400705193847	0.029209478024048	0.0344745231699482	-0.0427758935932257	0.0398164156390287	-0.0403513908333689	0.0069499337818128	-0.0695050818394322	-0.00868193611115985	0.0410340797600526	0.0916004865252256	0.079484282053447	0.0228798842536016	0.0282613484289936	0.0396230074898095	0.0733082956592513	0.0640049513082893	0.0415113663055657	0.0253783421462371	-0.0147133350866256
4,REACTOME_NEURONAL_SYSTEM	-0.0677162839077763	-0.0966828943982905	-0.063541876592956	-0.0761264182270066	-0.032182088433541	-0.0724009795637246	-0.0401907533672842	-0.068050389655925	0.0137267982483576	-0.0438499241331021	-0.0573792429545372	-0.0230433317632318	-0.0248939025377923	-0.0392592769295224	-0.0181566417044466	-0.0569384163625289	-0.050171707170701	-0.0542606374672685	-0.049688770472715	-0.00634222667007129	0.117055097899015	0.0884817619369188	0.0606420588062842	-0.00266749478271246	0.0380340231186299	-0.0325477776123581	0.00121218173842134	0.0578511463475809	0.0382719182527047	0.0152817107605233	0.0720199429205526	0.0221763174004716	0.0654886033285337	0.0568174563707632	0.0731420721744468	0.0971175197862794	-0.000356343269100291	-0.00248220110381484	-0.0151654728200517	0.0213525197845433	0.020031744303707	0.0582004862481937	-0.0279761299671207	-0.0344382242348225	0.0423218349941283	0.0393510335011794	0.0579331781811671
LV 5	0.0102452674636197	0.0123637509211171	0.00398725683513035	-0.00717417803237656	-0.00536801035598567	-0.0294973571118384	0.0169203207524094	-0.0119350838826525	-0.00614717279542303	-0.00290342988090176	0.0402857862122689	0.035046713878619	-0.0437559140712053	0.00775408258240792	0.0621034143821266	-0.00425625147033631	0.0270709837102001	-0.0161511811674198	-0.0075534244850107	0.018217572604748	0.000523916373259988	-0.000819067111450706	0.00674698937894103	-0.0173413153701753	-0.0395107950129551	-0.00687561553073716	-0.000118892495435024	-0.0188469672391991	-0.00351415241453124	-0.0275037183614056	0.000813754203292693	-0.00195621800036306	0.027668740876201	-0.0118433728423311	0.00684728877809016	-0.0087359149585031	0.0324272326071115	0.0035856175823695	-0.00312821072531754	-0.0184908418846998	-0.0109517676683246	0.0381903790963517	0.00103517103110882	-0.0205164272346783	-0.0145350735929488	-0.00299477123785181	-0.00940911433531638
LV 6	0.00149166255084045	-0.0216855930146113	0.0178527045751103	-0.0192079448945777	-0.00282587072633515	-0.00193895072060603	-0.0328162554504738	0.00690326720937513	-0.0582019240680689	-0.0286466937453259	-0.0352788307973209	-0.0563260268803763	-0.0349241609739251	0.00399839216804419	-0.0432684803763633	-0.0441787694000152	-0.0601167021282975	0.0237105423593935	0.00862144398874065	-0.0200516116825017	-0.0223460857161145	-0.0170439188556203	-0.0304223886432098	0.0289192017855746	0.0244613708986402	0.0328214162713865	-0.00592175954613652	0.000778414632736981	0.0211814606668844	0.0287884785567246	-0.0227181646938374	0.02843180327111	-0.0121429403759406	-0.0222193066147644	-0.00836593012449363	0.0321647666548777	0.0787470335652839	0.0467731362026154	0.0302862960077878	0.0398393281142113	0.0442816444363527	0.0397065366134434	0.0269668122021642	0.0200334750459743	0.0115110446815625	0.0226737369215173	-0.0202956599514361
7,IRIS_Neutrophil-Resting	-0.0448173631453981	-0.0315410177358408	-0.0419825477409827	-0.0532703413700465	-0.0399391176224344	-0.0372705472026483	-0.0522181745781057	-0.0336797054000811	-0.0499067764565722	-0.0473959526179746	-0.0303171504755016	-0.0485015881544076	-0.0562163756750762	-0.0202264785708673	-0.0259497403708485	-0.0473721887121149	-0.0500781646707211	-0.0833743027849653	-0.0559247232109139	0.230293821208151	0.222783581858125	0.226669124615691	0.198413972188692	0.281925587758027	0.282372675532074	0.223488842394213	0.216243763506483	0.23047436716386	0.252088198549289	0.300617921266927	0.20494664621997	-0.122226020727759	-0.128607920537421	-0.133811524028223	-0.138272189819915	-0.141313133831391	-0.11411066891285	-0.119102383976817	-0.120330209487766	-0.143147185099543	-0.127256024524137	-0.0941508497748777	-0.129375140325235	-0.116368811228442	-0.139886766679889	-0.132880357729632	-0.119497059082103
8,KEGG_PPAR_SIGNALING_PATHWAY	0.0251830619097571	0.0378644642793322	0.0359464776529316	-0.0148639127473922	0.0124987684636352	-0.00427914850218068	-0.0128504333794469	-0.00770901374330381	0.0116109557517894	-0.0236745491302399	-0.00652210858904071	-0.0238470341200783	-0.00375134524107096	0.0186763742436454	0.00352464827203095	-0.00348993216445847	-0.00941365133782797	0.0114491407205714	-0.00286546089494207	-0.0028875410503412	-0.0260059720511585	-0.0297009506065829	-0.015526315815933	-0.000592223989496704	-0.0320090897321066	0.0116125018857407	-0.000359407954888781	0.00290821760318612	-0.0363794693274084	-0.017262691791984	-0.00148097321688578	0.0349631148738481	-0.0239054785662022	-0.00611187710986627	-0.0385034502454146	-0.0112337380858171	0.00483279585870651	0.0518693493700331	0.0144252798782905	0.0273949083785511	0.00310353659354651	0.0238989582203918	0.0136657594079484	-0.0146775004798801	0.0146423872444956	0.0063473660932555	0.00348520317226095
LV 9	0.0826976885358087	0.0912022643158578	0.0389391297000063	0.0698676005911201	0.081733073396196	0.117336182678098	0.062483541011261	0.111368715359642	0.0807800653609054	0.109336517095366	0.0745596146084637	0.0422860341522968	0.0644849427188755	0.0451524119957296	0.00511639445873359	0.0968262605418793	0.0119997346723053	0.0187909133803384	0.0879966731207851	-0.110040310735159	-0.109367148039388	-0.0968100380105372	-0.0651913821297389	-0.114946285481269	-0.0546410358461408	-0.0510556780724408	-0.0630401738922127	-0.101089536454529	-0.1103023094564	-0.151355364450903	-0.0951200822561678	0.0127544532210168	-0.042362057075962	-0.00596491748523837	-0.0365680278527972	-0.0376148162029525	-0.00902970667248921	0.00563345549381436	-0.0109067844226353	-0.0173773756208141	-0.0222924538778156	0.000994644306837746	0.0147758841586341	0.0696081371980485	-0.0266477872996384	-0.0203340456920404	-0.0446670150447507
10,SVM Macrophages M0	0.0300695938949258	0.0260401435643051	0.00893404175271725	0.014011281500063	0.0469493862494383	0.0409621645566467	0.0128672213300707	0.0622851976258435	0.0433692376396424	0.0378397566840663	0.0161774417707698	0.0102826339266611	0.0145373980121005	0.0612898188740269	0.101913626219653	0.0618451397907822	0.0156001787360404	0.0160846304522003	0.0246401306802746	-0.0213573878289544	0.0127212116991732	-0.0147796784311056	-0.0154448355461209	0.0155646221230869	0.00183146666484529	0.00418588036463078	-0.0235686096731934	-0.0159885557861047	0.00390407465946646	0.0254641290796769	-0.0166624052370358	-0.0375585846637083	-0.0353610706240089	-0.0495721918523189	-0.0287874132540991	-0.0435010679383169	-0.0345745564560901	-0.0285864726012153	-0.014908211109284	-0.0718540522393054	-0.0235449864538833	-0.00848667199566546	-0.0410232703580589	-0.0589678911258938	-0.077985733949952	-0.0396123933420447	-0.00724436738474798
LV 11	-0.0396131775958961	-0.0636910614107779	-0.0416201971124168	-0.0785876033818478	-0.044088795802864	-0.0701157945136477	-0.0129902630108421	-0.0676303791243542	-0.0181897045063474	-0.0512062837351488	-0.0277878905208701	-0.0481094950921455	-0.0153393845883601	-0.0321298100521845	-0.02052666608991	-0.050933411094477	-0.0497285886308658	-0.0382297919354799	-0.00547361333422433	-0.00411683127811969	0.0538568928867581	0.0299084296422838	0.0104441749757697	-0.0133018928483667	-0.0124902852695475	-0.0161667742390783	0.0149310985777951	-0.0166266608920244	-0.0154344340057688	-0.00249485193251439	0.00279887581771379	0.0280436257422281	0.0139272796871	0.0343193704187427	0.0405012168771609	0.0432367938799105	0.0798588016968068	0.0421077192438886	0.0760525194811737	0.0364293402012071	0.0687780642722999	0.0532766805851233	0.0477869520875507	0.00771529939244171	0.0686606094237213	0.0660410331149773	0.0379488639934265
12,DMAP_MEGA2	-0.0411180978679106	-0.0239974667201072	-0.0354486872716685	-0.0355439370782932	-0.0129946665900085	-0.0237117653245251	0.0122354513289015	-0.0132434569004983	-0.0192182983561179	0.00671895039245694	0.00883207520568505	-0.00704387924210372	-0.00599012892248313	0.00925922456879118	0.0873237786041469	-0.0113420017252226	-0.015737818967302	-0.0316881962433559	-0.00709498640189631	0.0554462986617867	0.0967879026963238	0.0721249619238704	0.0554712401171528	0.0693763875373957	0.0388551998802054	0.0746100744658276	0.0287486078948957	0.0412017526810505	0.0652268511255884	0.081596282357423	0.112633719314688	-0.0449194593763822	-0.0297098739997053	-0.0419580511032072	-0.0300486533690708	-0.0389948496842403	0.0281141074388597	-0.0657798585782477	-0.063502729503361	-0.0724644138636514	-0.0237446083620022	0.0101631599993015	-0.0479879853300599	-0.0625098085405686	-0.0775618098279193	-0.0510300329164422	-0.0203405041279991
13,REACTOME_GLUCOSE_METABOLISM	-0.0159553634497714	-0.0235526540721924	-0.00622442487184226	-0.0214779785579824	0.0179154363101337	-0.0345268303354622	-0.00792243854220537	-0.0397659348896957	-0.017223798436258	-0.00659929657346921	-0.0103385671806932	-0.00906413566239041	-0.0225169438588612	-0.0217664241412802	-0.0288559116928126	-0.0419562710929287	-0.0465115852241877	0.040459598428984	0.0338115088920128	0.0162609327531626	-0.0308565684093585	-0.0182146941282558	-0.0246372237832694	-0.00582287842555417	-0.0109519441426341	0.0153308470305939	-0.00325722364120976	0.0310703964900765	0.00194778144224698	0.0297775334310781	0.0149437865045724	0.0257348823925729	-0.0234452903587019	0.000121662645784817	-0.0506314621012924	-0.0302482445551782	0.0298534479704945	0.0615868318691259	0.0627375405588415	0.0344168968264933	0.0159175296919152	0.0201229464245819	0.0223270146289125	0.0381346717909623	0.0210988692706732	0.00226631260988531	0.0164876601643826
LV 14	-0.00201736899676607	-0.00350995238506597	-0.00241397070023594	-0.0260014850912144	-0.0186939334511866	-0.0594316275246329	-0.0220658051285492	-0.0399890434399232	-0.0178236806480769	-0.0619026374983394	-0.00514139635002216	-0.0143087051277104	-0.0447506031647966	-0.00746687789246452	-0.00103026472676398	-0.00416623003155043	-0.00835669231459666	-0.0205948870971481	-0.0250445807442811	0.0349190719759519	0.00746011676641141	0.0106393860448305	0.0107651909765857	-0.0205827576650841	0.0272922244802719	0.0454627964162295	0.00647072482053998	-0.00561022947557877	-0.0231534296476082	-0.0073455902657737	-0.00266080280007821	0.0218717916292919	-0.0124300133165509	0.0126285924770473	-0.0444326512679659	0.0145617352222597	0.0542519680297602	0.0785461869774286	0.0419014413010322	0.0473021907850967	0.00409859554531061	0.0147358822411777	0.016780567351351	0.0182558351894987	0.0163407438069973	0.0200718474832357	-0.00343167276834435
LV 15	-0.0181378453701594	-0.0585127530140927	-0.0301220085309975	-0.0761564271813253	-0.0301631518970649	-0.0816041881299554	-0.0306540131831143	-0.047156145637492	-0.0654772758495537	-0.0532525251557321	-0.0360234943021409	-0.0376121691819373	-0.0297545785214356	0.00798814687704763	-0.00137001200617545	-0.0390090667433877	-0.0255164500691212	0.00343980876563726	0.0232263623274323	0.0835424799697186	0.0204805535211124	0.0578291958365815	0.00968764839956494	0.0257396872025047	0.0389809617574248	0.061147054728422	0.0222383344546877	0.0331615189515574	0.0411580742992931	0.0448845521038132	0.0578487565470151	-0.0157530651894515	-0.034036097525143	-0.0208518169511188	-0.0244917540804698	0.00842863394808417	0.00910930327044472	0.00995222720445604	0.0445841401155486	0.0346531136696659	0.0147572025428385	-0.0132974484842963	0.0322686254868635	0.0338249805550222	0.0217717188610681	0.0341090987951836	-0.00585989318682299
LV 16	2.42786075027633e-05	0.0294020130421969	0.0382423850387408	0.0325097930248373	0.00960294497924881	0.0212427513908478	0.0191735837210969	0.0196887851953541	0.0271446937198878	0.0208340579668485	0.0274862882686148	0.0339680973761402	0.00654575182280445	0.0330489876198188	0.0518725612314985	0.0268970221789119	0.016636689198629	0.0106253673347508	0.0196505322854841	-0.00635033292633784	0.0192521290340251	8.44783363205539e-05	0.00154101946008954	0.00853825828343142	0.0214456795846935	-0.00761637959015172	-0.0245371608749587	0.00164655942268227	-0.020326363473566	0.00543640992635111	-0.0176097884206927	-0.0245842285543501	0.00418080550745405	-0.0379903737583969	-0.00796086956169947	-0.0327387192819135	0.00925887930568432	-0.0368086981774514	-0.0306810839172541	-0.0445763800043398	-0.0429434555759271	0.0556391166384788	-0.0330704081786759	-0.0470372518535068	-0.0526288202381967	-0.0617576405100209	-0.0424019646049856
