run	study	sample
SRR013549	SRP000599	SRS002125
SRR013550	SRP000599	SRS002126
SRR013551	SRP000599	SRS002127
SRR013552	SRP000599	SRS002128
SRR013553	SRP000599	SRS002129
SRR013554	SRP000599	SRS002130
SRR013555	SRP000599	SRS002131
SRR013556	SRP000599	SRS002132
SRR013557	SRP000599	SRS002133
SRR013558	SRP000599	SRS002134
SRR013559	SRP000599	SRS002135
SRR013560	SRP000599	SRS002136
SRR013561	SRP000599	SRS002137
SRR013562	SRP000599	SRS002138
SRR013563	SRP000599	SRS002139
SRR013564	SRP000599	SRS002140
SRR013565	SRP000599	SRS002141
SRR013566	SRP000599	SRS002142
SRR013567	SRP000599	SRS002143
SRR013568	SRP000599	SRS002144
SRR013569	SRP000599	SRS002145
SRR013570	SRP000599	SRS002146
SRR013571	SRP000599	SRS002147
SRR013572	SRP000599	SRS002148
SRR013573	SRP000599	SRS002149
SRR013574	SRP000599	SRS002150
SRR013575	SRP000599	SRS002151
SRR013576	SRP000599	SRS002152
SRR013577	SRP000599	SRS002153
SRR013578	SRP000599	SRS002154
SRR013579	SRP000599	SRS002155
SRR013580	SRP000599	SRS002156
SRR013581	SRP000599	SRS002157
SRR013582	SRP000599	SRS002158
SRR013583	SRP000599	SRS002159
SRR013584	SRP000599	SRS002160
SRR013585	SRP000599	SRS002161
SRR013586	SRP000599	SRS002162
SRR013587	SRP000599	SRS002163
SRR013588	SRP000599	SRS002164
SRR029124	SRP001313	SRS006753
SRR029125	SRP001313	SRS006754
SRR029127	SRP001313	SRS006756
SRR029128	SRP001313	SRS006757
SRR029129	SRP001313	SRS006758
SRR029130	SRP001313	SRS006759
SRR029131	SRP001313	SRS006760
SRR029132	SRP001313	SRS006761
SRR029284	SRP001349	SRS006823
SRR029285	SRP001349	SRS006824
SRR030769	SRP001462	SRS007526
SRR030770	SRP001462	SRS007526
SRR030771	SRP001462	SRS007527
SRR030772	SRP001462	SRS007527
SRR031811	SRP001540	SRS008824
SRR031812	SRP001540	SRS008825
SRR031813	SRP001540	SRS008826
SRR031814	SRP001540	SRS008827
SRR031815	SRP001540	SRS008828
SRR031816	SRP001540	SRS008829
SRR031817	SRP001540	SRS008830
SRR031818	SRP001540	SRS008831
SRR031819	SRP001540	SRS008832
SRR031820	SRP001540	SRS008833
SRR031821	SRP001540	SRS008834
SRR031822	SRP001540	SRS008835
SRR031823	SRP001540	SRS008836
SRR031824	SRP001540	SRS008837
SRR031825	SRP001540	SRS008838
SRR031826	SRP001540	SRS008839
SRR031827	SRP001540	SRS008840
SRR031828	SRP001540	SRS008841
SRR031829	SRP001540	SRS008842
SRR031830	SRP001540	SRS008843
SRR031831	SRP001540	SRS008844
SRR031832	SRP001540	SRS008845
SRR031833	SRP001540	SRS008846
SRR031834	SRP001540	SRS008847
SRR031835	SRP001540	SRS008848
SRR031836	SRP001540	SRS008849
SRR031837	SRP001540	SRS008850
SRR031838	SRP001540	SRS008851
SRR031839	SRP001540	SRS008852
SRR031840	SRP001540	SRS008853
SRR031841	SRP001540	SRS008854
SRR031842	SRP001540	SRS008855
SRR031843	SRP001540	SRS008856
SRR031844	SRP001540	SRS008857
SRR031845	SRP001540	SRS008858
SRR031846	SRP001540	SRS008859
SRR031847	SRP001540	SRS008860
SRR031848	SRP001540	SRS008861
SRR031849	SRP001540	SRS008862
SRR031850	SRP001540	SRS008863
SRR031851	SRP001540	SRS008864
SRR031852	SRP001540	SRS008865
SRR031853	SRP001540	SRS008866
SRR031854	SRP001540	SRS008867
SRR031855	SRP001540	SRS008868
SRR031857	SRP001540	SRS008870
SRR031858	SRP001540	SRS008871
SRR031859	SRP001540	SRS008872
SRR031860	SRP001540	SRS008873
SRR031861	SRP001540	SRS008874
SRR031862	SRP001540	SRS008875
SRR031863	SRP001540	SRS008876
SRR031864	SRP001540	SRS008877
SRR031865	SRP001540	SRS008878
SRR031866	SRP001540	SRS008879
SRR031867	SRP001540	SRS008880
SRR031868	SRP001540	SRS008881
SRR031869	SRP001540	SRS008882
SRR031870	SRP001540	SRS008883
SRR031871	SRP001540	SRS008884
SRR031872	SRP001540	SRS008885
SRR031873	SRP001540	SRS008886
SRR031874	SRP001540	SRS008887
SRR031875	SRP001540	SRS008888
SRR031876	SRP001540	SRS008889
SRR031877	SRP001540	SRS008890
SRR031878	SRP001540	SRS008891
SRR031879	SRP001540	SRS008892
SRR031880	SRP001540	SRS008893
SRR031881	SRP001540	SRS008894
SRR031882	SRP001540	SRS008895
SRR031883	SRP001540	SRS008896
SRR031884	SRP001540	SRS008897
SRR031885	SRP001540	SRS008898
SRR031886	SRP001540	SRS008899
SRR031887	SRP001540	SRS008900
SRR031888	SRP001540	SRS008901
SRR031889	SRP001540	SRS008902
SRR031890	SRP001540	SRS008903
SRR031891	SRP001540	SRS008904
SRR031892	SRP001540	SRS008905
SRR031893	SRP001540	SRS008906
SRR031894	SRP001540	SRS008907
SRR031895	SRP001540	SRS008908
SRR031896	SRP001540	SRS008909
SRR031897	SRP001540	SRS008910
SRR031898	SRP001540	SRS008911
SRR031899	SRP001540	SRS008912
SRR031900	SRP001540	SRS008913
SRR031901	SRP001540	SRS008914
SRR031902	SRP001540	SRS008915
SRR031903	SRP001540	SRS008916
SRR031904	SRP001540	SRS008917
SRR031905	SRP001540	SRS008918
SRR031906	SRP001540	SRS008919
SRR031907	SRP001540	SRS008920
SRR031908	SRP001540	SRS008921
SRR031909	SRP001540	SRS008922
SRR031910	SRP001540	SRS008923
SRR031911	SRP001540	SRS008924
SRR031912	SRP001540	SRS008925
SRR031913	SRP001540	SRS008926
SRR031914	SRP001540	SRS008927
SRR031915	SRP001540	SRS008928
SRR031916	SRP001540	SRS008929
SRR031917	SRP001540	SRS008930
SRR031918	SRP001540	SRS008931
SRR031919	SRP001540	SRS008932
SRR031920	SRP001540	SRS008933
SRR031921	SRP001540	SRS008934
SRR031922	SRP001540	SRS008935
SRR031923	SRP001540	SRS008936
SRR031924	SRP001540	SRS008937
SRR031925	SRP001540	SRS008938
SRR031926	SRP001540	SRS008939
SRR031927	SRP001540	SRS008940
SRR031928	SRP001540	SRS008941
SRR031929	SRP001540	SRS008942
SRR031930	SRP001540	SRS008943
SRR031931	SRP001540	SRS008944
SRR031932	SRP001540	SRS008945
SRR031933	SRP001540	SRS008946
SRR031934	SRP001540	SRS008947
SRR031935	SRP001540	SRS008948
SRR031936	SRP001540	SRS008949
SRR031937	SRP001540	SRS008950
SRR031938	SRP001540	SRS008951
SRR031939	SRP001540	SRS008952
SRR031940	SRP001540	SRS008953
SRR031941	SRP001540	SRS008954
SRR031942	SRP001540	SRS008955
SRR031943	SRP001540	SRS008956
SRR031944	SRP001540	SRS008957
SRR031945	SRP001540	SRS008958
SRR031946	SRP001540	SRS008959
SRR031947	SRP001540	SRS008960
SRR031948	SRP001540	SRS008961
SRR031949	SRP001540	SRS008962
SRR031950	SRP001540	SRS008963
SRR031951	SRP001540	SRS008964
SRR031952	SRP001540	SRS008965
SRR031953	SRP001540	SRS008966
SRR031954	SRP001540	SRS008967
SRR031955	SRP001540	SRS008968
SRR031956	SRP001540	SRS008969
SRR031957	SRP001540	SRS008970
SRR031958	SRP001540	SRS008971
SRR031959	SRP001540	SRS008972
SRR031960	SRP001540	SRS008973
SRR031961	SRP001540	SRS008974
SRR031962	SRP001540	SRS008975
SRR031963	SRP001540	SRS008976
SRR031964	SRP001540	SRS008977
SRR031965	SRP001540	SRS008978
SRR031966	SRP001540	SRS008979
SRR031967	SRP001540	SRS008980
SRR031968	SRP001540	SRS008981
SRR031969	SRP001540	SRS008982
SRR031970	SRP001540	SRS008983
SRR031971	SRP001540	SRS008984
SRR032116	SRP001558	SRS009313
SRR032118	SRP001558	SRS009315
SRR032119	SRP001558	SRS009316
SRR032120	SRP001558	SRS009317
SRR032121	SRP001558	SRS009318
SRR032122	SRP001558	SRS009319
SRR032123	SRP001558	SRS009320
SRR032124	SRP001558	SRS009321
SRR032125	SRP001558	SRS009322
SRR032126	SRP001558	SRS009323
SRR032127	SRP001558	SRS009324
SRR032238	SRP001563	SRS009358
SRR032239	SRP001563	SRS009359
SRR032240	SRP001563	SRS009360
SRR032241	SRP001563	SRS009361
SRR032242	SRP001563	SRS009362
SRR032243	SRP001563	SRS009363
SRR032244	SRP001563	SRS009364
SRR032245	SRP001563	SRS009365
SRR032246	SRP001563	SRS009366
SRR032247	SRP001563	SRS009367
SRR032248	SRP001563	SRS009368
SRR032249	SRP001563	SRS009369
SRR032250	SRP001563	SRS009370
SRR032251	SRP001563	SRS009371
SRR032252	SRP001563	SRS009372
SRR032253	SRP001563	SRS009373
SRR032254	SRP001563	SRS009374
SRR032255	SRP001563	SRS009375
SRR032256	SRP001563	SRS009376
SRR032257	SRP001563	SRS009377
SRR032258	SRP001563	SRS009378
SRR032259	SRP001563	SRS009379
SRR032260	SRP001563	SRS009380
SRR032261	SRP001563	SRS009381
SRR032262	SRP001563	SRS009382
SRR032263	SRP001563	SRS009383
SRR032264	SRP001563	SRS009384
SRR032265	SRP001563	SRS009385
SRR032266	SRP001563	SRS009386
SRR032267	SRP001563	SRS009387
SRR032268	SRP001563	SRS009388
SRR032269	SRP001563	SRS009389
SRR032270	SRP001563	SRS009390
SRR032271	SRP001563	SRS009391
SRR032272	SRP001563	SRS009392
SRR032273	SRP001563	SRS009393
SRR032274	SRP001563	SRS009394
SRR032275	SRP001563	SRS009395
SRR032276	SRP001563	SRS009396
SRR032277	SRP001563	SRS009397
SRR032278	SRP001563	SRS009398
SRR034164	SRP001563	SRS009371
SRR034194	SRP001563	SRS009390
SRR034202	SRP001563	SRS009394
SRR034203	SRP001563	SRS009398
SRR034466	SRP001758	SRS009972
SRR034467	SRP001758	SRS009973
SRR034468	SRP001758	SRS009974
SRR034469	SRP001758	SRS009975
SRR035576	SRP001893	SRS010364
SRR035577	SRP001893	SRS010364
SRR035578	SRP001893	SRS010364
SRR035579	SRP001893	SRS010365
SRR035580	SRP001893	SRS010365
SRR035581	SRP001893	SRS010365
SRR035582	SRP001893	SRS010366
SRR035583	SRP001893	SRS010366
SRR035584	SRP001893	SRS010366
SRR035585	SRP001893	SRS010367
SRR035586	SRP001893	SRS010367
SRR035587	SRP001893	SRS010367
SRR036616	SRP001997	SRS010662
SRR036617	SRP001997	SRS010663
SRR036618	SRP001997	SRS010664
SRR036619	SRP001997	SRS010665
SRR036620	SRP001997	SRS010666
SRR036621	SRP001997	SRS010667
SRR036622	SRP001997	SRS010668
SRR036623	SRP001997	SRS010669
SRR036661	SRP002001	SRS010682
SRR037165	SRP002079	SRS011896
SRR037166	SRP002079	SRS011896
SRR037167	SRP002079	SRS011896
SRR037168	SRP002079	SRS011896
SRR037169	SRP002079	SRS011896
SRR037170	SRP002079	SRS011896
SRR037171	SRP002079	SRS011898
SRR037172	SRP002079	SRS011898
SRR037173	SRP002079	SRS011898
SRR037174	SRP002079	SRS011898
SRR037175	SRP002079	SRS011898
SRR037176	SRP002079	SRS011898
SRR037177	SRP002079	SRS011898
SRR037178	SRP002079	SRS011898
SRR037179	SRP002079	SRS011898
SRR037180	SRP002079	SRS011898
SRR037181	SRP002079	SRS011898
SRR037182	SRP002079	SRS011898
SRR037183	SRP002079	SRS011898
SRR037184	SRP002079	SRS011898
SRR037185	SRP002079	SRS011898
SRR037186	SRP002079	SRS011898
SRR037187	SRP002079	SRS011898
SRR037188	SRP002079	SRS011898
SRR037189	SRP002079	SRS011898
SRR037190	SRP002079	SRS011898
SRR037191	SRP002079	SRS011898
SRR037192	SRP002079	SRS011898
SRR037193	SRP002079	SRS011899
SRR037194	SRP002079	SRS011899
SRR037195	SRP002079	SRS011899
SRR037196	SRP002079	SRS011899
SRR037197	SRP002079	SRS011899
SRR037198	SRP002079	SRS011899
SRR037199	SRP002079	SRS011900
SRR037200	SRP002079	SRS011900
SRR037201	SRP002079	SRS011900
SRR037202	SRP002079	SRS011900
SRR037203	SRP002079	SRS011900
SRR037204	SRP002079	SRS011900
SRR037205	SRP002079	SRS011900
SRR037206	SRP002079	SRS011902
SRR037207	SRP002079	SRS011902
SRR037208	SRP002079	SRS011902
SRR037209	SRP002079	SRS011902
SRR037210	SRP002079	SRS011902
SRR037211	SRP002079	SRS011902
SRR037212	SRP002079	SRS011902
SRR037213	SRP002079	SRS011902
SRR037214	SRP002079	SRS011902
SRR037215	SRP002079	SRS011902
SRR037216	SRP002079	SRS011902
SRR037217	SRP002079	SRS011902
SRR037218	SRP002079	SRS011902
SRR037219	SRP002079	SRS011902
SRR037220	SRP002079	SRS011903
SRR037221	SRP002079	SRS011903
SRR037222	SRP002079	SRS011903
SRR037223	SRP002079	SRS011903
SRR037224	SRP002079	SRS011903
SRR037225	SRP002079	SRS011903
SRR037226	SRP002079	SRS011903
SRR037695	SRP002105	SRS024848
SRR037696	SRP002105	SRS024848
SRR037697	SRP002105	SRS024848
SRR037698	SRP002105	SRS024848
SRR037699	SRP002105	SRS024848
SRR037700	SRP002105	SRS024848
SRR037701	SRP002105	SRS024848
SRR037702	SRP002105	SRS024848
SRR037703	SRP002105	SRS024848
SRR037704	SRP002105	SRS024848
SRR037705	SRP002105	SRS024848
SRR037706	SRP002105	SRS024848
SRR037707	SRP002105	SRS024848
SRR037708	SRP002105	SRS024848
SRR037709	SRP002105	SRS024848
SRR038294	SRP002128	SRS025353
SRR038295	SRP002128	SRS025354
SRR038296	SRP002128	SRS025355
SRR038297	SRP002128	SRS025356
SRR038298	SRP002128	SRS025357
SRR038299	SRP002128	SRS025358
SRR038300	SRP002128	SRS025359
SRR038301	SRP002128	SRS025360
SRR038302	SRP002128	SRS025361
SRR038303	SRP002128	SRS025362
SRR038446	SRP002126	SRS025332
SRR038447	SRP002126	SRS025333
SRR038448	SRP002126	SRS025334
SRR038449	SRP002126	SRS025335
SRR038450	SRP002126	SRS025336
SRR038451	SRP002126	SRS025337
SRR038452	SRP002126	SRS025338
SRR038453	SRP002126	SRS025339
SRR038454	SRP002126	SRS025340
SRR038455	SRP002126	SRS025341
SRR038456	SRP002126	SRS025342
SRR038457	SRP002126	SRS025343
SRR038458	SRP002126	SRS025344
SRR038459	SRP002126	SRS025345
SRR038996	SRP002184	SRS041924
SRR038997	SRP002184	SRS041925
SRR038998	SRP002184	SRS041926
SRR038999	SRP002184	SRS041927
SRR039000	SRP002184	SRS041928
SRR039001	SRP002184	SRS041929
SRR039190	SRP002220	SRS042027
SRR039191	SRP002220	SRS042028
SRR039192	SRP002220	SRS042029
SRR039193	SRP002220	SRS042030
SRR039382	SRP002245	SRS058907
SRR039611	SRP002272	SRS059014
SRR039612	SRP002272	SRS059015
SRR039614	SRP002272	SRS059017
SRR039615	SRP002272	SRS059018
SRR039616	SRP002272	SRS059019
SRR039617	SRP002272	SRS059020
SRR039618	SRP002272	SRS059021
SRR039619	SRP002272	SRS059022
SRR039620	SRP002272	SRS059023
SRR039621	SRP002272	SRS059024
SRR039622	SRP002272	SRS059025
SRR039623	SRP002272	SRS059026
SRR039624	SRP002272	SRS059027
SRR039625	SRP002272	SRS059028
SRR039628	SRP002274	SRS059031
SRR039629	SRP002274	SRS059032
SRR039630	SRP002274	SRS059033
SRR039631	SRP002274	SRS059034
SRR039632	SRP002274	SRS059035
SRR039633	SRP002274	SRS059036
SRR039637	SRP002278	SRS059045
SRR039887	SRP002306	SRS059235
SRR039888	SRP002306	SRS059236
SRR039889	SRP002306	SRS059237
SRR040006	SRP002326	SRS059570
SRR040007	SRP002326	SRS059571
SRR040008	SRP002326	SRS059572
SRR040009	SRP002326	SRS059573
SRR040010	SRP002326	SRS059574
SRR040011	SRP002326	SRS059575
SRR040012	SRP002326	SRS059576
SRR040013	SRP002326	SRS059577
SRR040014	SRP002326	SRS059578
SRR040015	SRP002326	SRS059579
SRR040016	SRP002326	SRS059580
SRR040017	SRP002326	SRS059581
SRR040018	SRP002326	SRS059582
SRR040019	SRP002326	SRS059583
SRR040020	SRP002326	SRS059584
SRR040021	SRP002326	SRS059585
SRR040022	SRP002326	SRS059586
SRR040023	SRP002326	SRS059587
SRR040024	SRP002326	SRS059588
SRR040025	SRP002326	SRS059589
SRR040026	SRP002326	SRS059590
SRR040027	SRP002326	SRS059591
SRR040028	SRP002326	SRS059592
SRR040029	SRP002326	SRS059593
SRR040030	SRP002326	SRS059594
SRR040031	SRP002326	SRS059595
SRR040032	SRP002326	SRS059596
SRR040033	SRP002326	SRS059597
SRR040034	SRP002326	SRS059598
SRR040035	SRP002326	SRS059599
SRR040036	SRP002326	SRS059600
SRR040037	SRP002326	SRS059601
SRR040038	SRP002326	SRS059602
SRR040039	SRP002326	SRS059603
SRR040040	SRP002326	SRS059604
SRR040041	SRP002326	SRS059605
SRR040042	SRP002326	SRS059606
SRR040043	SRP002326	SRS059607
SRR048950	SRP002487	SRS073137
SRR048951	SRP002487	SRS073137
SRR048952	SRP002487	SRS073137
SRR048953	SRP002487	SRS073137
SRR048954	SRP002487	SRS073137
SRR048955	SRP002487	SRS073137
SRR048956	SRP002487	SRS073138
SRR048957	SRP002487	SRS073139
SRR048958	SRP002487	SRS073139
SRR048959	SRP002487	SRS073139
SRR048960	SRP002487	SRS073139
SRR048961	SRP002487	SRS073139
SRR048962	SRP002487	SRS073140
SRR048963	SRP002487	SRS073140
SRR048964	SRP002487	SRS073140
SRR048965	SRP002487	SRS073140
SRR048966	SRP002487	SRS073140
SRR048967	SRP002487	SRS073141
SRR048968	SRP002487	SRS073141
SRR048969	SRP002487	SRS073142
SRR048970	SRP002487	SRS073142
SRR048971	SRP002487	SRS073142
SRR048972	SRP002487	SRS073142
SRR048973	SRP002487	SRS073143
SRR048974	SRP002487	SRS073144
SRR048975	SRP002487	SRS073144
SRR048976	SRP002487	SRS073145
SRR048977	SRP002487	SRS073145
SRR048978	SRP002487	SRS073146
SRR048979	SRP002487	SRS073146
SRR048980	SRP002487	SRS073147
SRR048981	SRP002487	SRS073148
SRR048982	SRP002487	SRS073149
SRR048983	SRP002487	SRS073149
SRR048984	SRP002487	SRS073150
SRR048985	SRP002487	SRS073150
SRR048986	SRP002487	SRS073151
SRR048987	SRP002487	SRS073151
SRR052657	SRP002543	SRS074155
SRR052658	SRP002543	SRS074156
SRR052659	SRP002543	SRS074157
SRR052660	SRP002543	SRS074158
SRR052661	SRP002543	SRS074159
SRR052662	SRP002543	SRS074160
SRR052663	SRP002543	SRS074161
SRR057511	SRP002605	SRS079385
SRR057512	SRP002605	SRS079385
SRR057513	SRP002605	SRS079386
SRR057514	SRP002605	SRS079386
SRR057515	SRP002605	SRS079386
SRR057516	SRP002605	SRS079387
SRR057517	SRP002605	SRS079387
SRR057518	SRP002605	SRS079388
SRR057519	SRP002605	SRS079388
SRR057520	SRP002605	SRS079388
SRR057521	SRP002605	SRS079389
SRR057522	SRP002605	SRS079389
SRR057523	SRP002605	SRS079390
SRR057524	SRP002605	SRS079390
SRR057525	SRP002605	SRS079390
SRR057526	SRP002605	SRS079391
SRR057527	SRP002605	SRS079392
SRR057528	SRP002605	SRS079392
SRR057529	SRP002605	SRS079393
SRR057530	SRP002605	SRS079394
SRR057531	SRP002605	SRS079394
SRR057532	SRP002605	SRS079395
SRR057533	SRP002605	SRS079396
SRR057534	SRP002605	SRS079396
SRR057629	SRP002628	SRS084143
SRR057630	SRP002628	SRS084144
SRR057631	SRP002628	SRS084145
SRR057632	SRP002628	SRS084146
SRR057633	SRP002628	SRS084147
SRR057634	SRP002628	SRS084148
SRR057635	SRP002628	SRS084149
SRR057636	SRP002628	SRS084150
SRR057637	SRP002628	SRS084151
SRR057638	SRP002628	SRS084152
SRR057639	SRP002628	SRS084153
SRR057640	SRP002628	SRS084154
SRR057641	SRP002628	SRS084155
SRR057642	SRP002628	SRS084156
SRR057643	SRP002628	SRS084157
SRR057644	SRP002628	SRS084158
SRR057645	SRP002628	SRS084159
SRR057646	SRP002628	SRS084160
SRR057647	SRP002628	SRS084161
SRR057648	SRP002628	SRS084162
SRR057649	SRP002628	SRS084163
SRR057650	SRP002628	SRS084164
SRR057651	SRP002628	SRS084165
SRR057652	SRP002628	SRS084166
SRR057653	SRP002628	SRS084167
SRR057654	SRP002628	SRS084168
SRR057655	SRP002628	SRS084169
SRR057656	SRP002628	SRS084170
SRR057657	SRP002628	SRS084171
SRR057658	SRP002628	SRS084172
SRR058065	SRP002640	SRS084213
SRR058066	SRP002640	SRS084214
SRR058067	SRP002640	SRS084215
SRR058068	SRP002640	SRS084216
SRR058069	SRP002640	SRS084217
SRR058070	SRP002640	SRS084218
SRR058071	SRP002640	SRS084219
SRR058072	SRP002640	SRS084220
SRR059130	SRP002789	SRS084729
SRR059131	SRP002789	SRS084730
SRR059132	SRP002789	SRS084731
SRR059133	SRP002789	SRS084732
SRR060168	SRP002861	SRS085023
SRR060169	SRP002861	SRS085024
SRR060734	SRP002881	SRS085183
SRR060885	SRP002915	SRS085364
SRR060886	SRP002915	SRS085365
SRR060887	SRP002915	SRS085366
SRR060888	SRP002915	SRS085367
SRR060889	SRP002915	SRS085368
SRR060890	SRP002915	SRS085369
SRR060891	SRP002915	SRS085370
SRR060892	SRP002915	SRS085371
SRR060893	SRP002915	SRS085372
SRR060894	SRP002915	SRS085373
SRR060895	SRP002915	SRS085374
SRR060896	SRP002915	SRS085375
SRR060897	SRP002915	SRS085376
SRR060898	SRP002915	SRS085377
SRR060899	SRP002915	SRS085378
SRR060900	SRP002915	SRS085379
SRR060901	SRP002915	SRS085380
SRR060902	SRP002915	SRS085381
SRR060903	SRP002915	SRS085382
SRR060904	SRP002915	SRS085383
SRR060905	SRP002915	SRS085384
SRR060906	SRP002915	SRS085385
SRR060907	SRP002915	SRS085386
SRR060908	SRP002915	SRS085387
SRR060909	SRP002915	SRS085388
SRR060910	SRP002915	SRS085389
SRR060911	SRP002915	SRS085390
SRR060981	SRP002958	SRS085440
SRR060982	SRP002958	SRS085441
SRR060983	SRP002958	SRS085442
SRR060984	SRP002958	SRS085443
SRR060985	SRP002958	SRS085444
SRR060986	SRP002958	SRS085445
SRR061728	SRP003021	SRS085645
SRR061729	SRP003021	SRS085646
SRR063750	SRP003227	SRS105319
SRR066423	SRP003611	SRS115066
SRR066424	SRP003611	SRS115066
SRR066425	SRP003611	SRS115066
SRR066426	SRP003611	SRS115066
SRR066427	SRP003611	SRS115066
SRR066428	SRP003611	SRS115066
SRR066429	SRP003611	SRS115066
SRR066430	SRP003611	SRS115067
SRR066431	SRP003611	SRS115067
SRR066432	SRP003611	SRS115067
SRR066433	SRP003611	SRS115067
SRR066434	SRP003611	SRS115067
SRR066435	SRP003611	SRS115067
SRR066436	SRP003611	SRS115067
SRR066437	SRP003611	SRS115068
SRR066438	SRP003611	SRS115068
SRR066439	SRP003611	SRS115068
SRR066440	SRP003611	SRS115068
SRR066441	SRP003611	SRS115068
SRR066442	SRP003611	SRS115068
SRR066443	SRP003611	SRS115068
SRR066444	SRP003611	SRS115068
SRR066445	SRP003611	SRS115068
SRR066446	SRP003611	SRS115068
SRR066447	SRP003611	SRS115068
SRR066448	SRP003611	SRS115068
SRR066449	SRP003611	SRS115068
SRR066450	SRP003611	SRS115068
SRR066451	SRP003611	SRS115069
SRR066452	SRP003611	SRS115069
SRR066453	SRP003611	SRS115070
SRR066454	SRP003611	SRS115070
SRR066455	SRP003611	SRS115071
SRR066456	SRP003611	SRS115071
SRR066457	SRP003611	SRS115071
SRR066458	SRP003611	SRS115071
SRR066459	SRP003611	SRS115071
SRR066460	SRP003611	SRS115071
SRR066461	SRP003611	SRS115071
SRR066463	SRP003611	SRS115072
SRR066464	SRP003611	SRS115072
SRR066465	SRP003611	SRS115072
SRR066466	SRP003611	SRS115072
SRR066467	SRP003611	SRS115072
SRR066468	SRP003611	SRS115072
SRR066469	SRP003611	SRS115073
SRR066470	SRP003611	SRS115073
SRR066471	SRP003611	SRS115073
SRR066472	SRP003611	SRS115073
SRR066473	SRP003611	SRS115073
SRR066474	SRP003611	SRS115073
SRR066475	SRP003611	SRS115073
SRR066745	SRP003637	SRS115194
SRR066746	SRP003637	SRS115195
SRR066747	SRP003637	SRS115196
SRR067385	SRP003672	SRS115337
SRR067386	SRP003672	SRS115338
SRR067387	SRP003672	SRS115339
SRR067388	SRP003672	SRS115340
SRR067389	SRP003672	SRS115341
SRR067390	SRP003672	SRS115342
SRR067391	SRP003672	SRS115343
SRR067392	SRP003672	SRS115344
SRR067393	SRP003672	SRS115345
SRR067394	SRP003672	SRS115346
SRR067395	SRP003672	SRS115347
SRR067396	SRP003672	SRS115348
SRR067891	SRP003726	SRS116524
SRR067892	SRP003726	SRS116525
SRR067893	SRP003726	SRS116526
SRR067894	SRP003726	SRS116527
SRR067895	SRP003726	SRS116528
SRR067896	SRP003726	SRS116529
SRR067897	SRP003726	SRS116530
SRR067898	SRP003726	SRS116531
SRR067899	SRP003726	SRS116532
SRR067900	SRP003726	SRS116533
SRR067901	SRP003726	SRS116534
SRR067902	SRP003726	SRS116535
SRR067903	SRP003726	SRS116536
SRR067904	SRP003726	SRS116537
SRR070177	SRP003901	SRS118183
SRR070178	SRP003901	SRS118184
SRR070179	SRP003901	SRS118185
SRR070180	SRP003901	SRS118186
SRR070181	SRP003901	SRS118187
SRR070182	SRP003901	SRS118188
SRR070183	SRP003901	SRS118189
SRR070184	SRP003901	SRS118190
SRR070185	SRP003901	SRS118191
SRR070186	SRP003901	SRS118192
SRR070187	SRP003901	SRS118193
SRR070188	SRP003901	SRS118194
SRR070189	SRP003901	SRS118195
SRR070190	SRP003901	SRS118196
SRR070191	SRP003901	SRS118197
SRR070192	SRP003901	SRS118198
SRR070193	SRP003901	SRS118199
SRR070194	SRP003901	SRS118200
SRR070195	SRP003901	SRS118201
SRR070196	SRP003901	SRS118202
SRR070230	SRP003902	SRS118236
SRR070231	SRP003902	SRS118237
SRR070232	SRP003902	SRS118238
SRR070233	SRP003902	SRS118239
SRR070234	SRP003902	SRS118240
SRR070235	SRP003902	SRS118241
SRR070236	SRP003902	SRS118242
SRR070237	SRP003902	SRS118243
SRR070238	SRP003902	SRS118244
SRR070239	SRP003902	SRS118245
SRR070240	SRP003902	SRS118246
SRR070241	SRP003902	SRS118247
SRR070242	SRP003902	SRS118248
SRR070243	SRP003902	SRS118249
SRR070244	SRP003902	SRS118250
SRR070245	SRP003902	SRS118251
SRR070246	SRP003902	SRS118252
SRR070247	SRP003902	SRS118253
SRR070248	SRP003902	SRS118254
SRR070249	SRP003902	SRS118255
SRR071160	SRP004042	SRS118733
SRR071161	SRP004042	SRS118734
SRR071162	SRP004042	SRS118735
SRR073723	SRP004637	SRS139394
SRR073724	SRP004637	SRS139395
SRR073725	SRP004637	SRS139396
SRR073726	SRP004637	SRS139397
SRR073727	SRP004637	SRS139398
SRR073728	SRP004637	SRS139399
SRR073729	SRP004637	SRS139400
SRR073730	SRP004637	SRS139401
SRR073731	SRP004637	SRS139402
SRR073732	SRP004637	SRS139403
SRR073733	SRP004637	SRS139404
SRR073734	SRP004637	SRS139405
SRR073735	SRP004637	SRS139406
SRR073736	SRP004637	SRS139407
SRR073737	SRP004637	SRS139408
SRR073738	SRP004637	SRS139409
SRR073739	SRP004637	SRS139410
SRR073740	SRP004637	SRS139411
SRR073741	SRP004637	SRS139412
SRR073742	SRP004637	SRS139413
SRR073743	SRP004637	SRS139414
SRR073744	SRP004637	SRS139415
SRR073745	SRP004637	SRS139416
SRR073746	SRP004637	SRS139417
SRR073747	SRP004637	SRS139418
SRR073748	SRP004637	SRS139419
SRR073749	SRP004637	SRS139420
SRR073750	SRP004637	SRS139421
SRR073751	SRP004637	SRS139422
SRR073752	SRP004637	SRS139423
SRR073753	SRP004637	SRS139424
SRR073754	SRP004637	SRS139425
SRR073755	SRP004637	SRS139426
SRR073756	SRP004637	SRS139427
