SampleID	Dataset
GSM955680_DNA10204-001.CEL	E-GEOD-39088
GSM955681_DNA10204-003.CEL	E-GEOD-39088
GSM955682_DNA10204-005.CEL	E-GEOD-39088
GSM955683_DNA10204-007.CEL	E-GEOD-39088
GSM955684_DNA10204-011.CEL	E-GEOD-39088
GSM955685_DNA10204-013.CEL	E-GEOD-39088
GSM955686_DNA10204-015.CEL	E-GEOD-39088
GSM955687_DNA10204-017.CEL	E-GEOD-39088
GSM955688_DNA10204-019.CEL	E-GEOD-39088
GSM955689_DNA10204-021.CEL	E-GEOD-39088
GSM955690_DNA10204-023.CEL	E-GEOD-39088
GSM955691_DNA10204-025.CEL	E-GEOD-39088
GSM955692_DNA10204-028.CEL	E-GEOD-39088
GSM955693_DNA10204-031.CEL	E-GEOD-39088
GSM955694_DNA10204-033.CEL	E-GEOD-39088
GSM955695_DNA10204-035.CEL	E-GEOD-39088
GSM955696_DNA10204-037.CEL	E-GEOD-39088
GSM955697_DNA10204-039.CEL	E-GEOD-39088
GSM955698_DNA10204-041.CEL	E-GEOD-39088
GSM955699_DNA10204-043.CEL	E-GEOD-39088
GSM955700_DNA10204-045.CEL	E-GEOD-39088
GSM955701_DNA10204-047.CEL	E-GEOD-39088
GSM955702_DNA10204-049.CEL	E-GEOD-39088
GSM955703_DNA10204-051.CEL	E-GEOD-39088
GSM955704_DNA10204-053.CEL	E-GEOD-39088
GSM955705_DNA10204-055.CEL	E-GEOD-39088
GSM955706_DNA10204-057.CEL	E-GEOD-39088
GSM955707_DNA10204-059.CEL	E-GEOD-39088
GSM955708_DNA10204-061.CEL	E-GEOD-39088
GSM955709_DNA10204-063.CEL	E-GEOD-39088
GSM955710_DNA10204-065.CEL	E-GEOD-39088
GSM955711_DNA10204-067.CEL	E-GEOD-39088
GSM955712_DNA10204-069.CEL	E-GEOD-39088
GSM955713_DNA10204-071.CEL	E-GEOD-39088
GSM955714_DNA10204-073.CEL	E-GEOD-39088
GSM955715_DNA10204-075.CEL	E-GEOD-39088
GSM955716_DNA10204-077.CEL	E-GEOD-39088
GSM955717_DNA10204-079.CEL	E-GEOD-39088
GSM955718_DNA10204-081.CEL	E-GEOD-39088
GSM955719_DNA10204-083.CEL	E-GEOD-39088
GSM955720_DNA10204-085.CEL	E-GEOD-39088
GSM955721_DNA10204-087.CEL	E-GEOD-39088
GSM955722_DNA10204-089.CEL	E-GEOD-39088
GSM955723_DNA10204-091.CEL	E-GEOD-39088
GSM955724_DNA10204-093.CEL	E-GEOD-39088
GSM955725_DNA10204-095.CEL	E-GEOD-39088
GSM955726_DNA10204-099.CEL	E-GEOD-39088
GSM955727_DNA10204-105.CEL	E-GEOD-39088
GSM955728_DNA10204-116.CEL	E-GEOD-39088
GSM955729_DNA10204-122.CEL	E-GEOD-39088
GSM955730_DNA10204-133.CEL	E-GEOD-39088
GSM955731_DNA10204-139.CEL	E-GEOD-39088
GSM955732_DNA10204-150.CEL	E-GEOD-39088
GSM955733_DNA10204-156.CEL	E-GEOD-39088
GSM955734_DNA10204-184.CEL	E-GEOD-39088
GSM955735_DNA10204-190.CEL	E-GEOD-39088
GSM955736_DNA10204-201.CEL	E-GEOD-39088
GSM955737_DNA10204-207.CEL	E-GEOD-39088
GSM955738_DNA10204-218.CEL	E-GEOD-39088
GSM955739_DNA10204-224.CEL	E-GEOD-39088
GSM955740_DNA10204-235.CEL	E-GEOD-39088
GSM955741_DNA10204-241.CEL	E-GEOD-39088
GSM955742_DNA10204-252.CEL	E-GEOD-39088
GSM955743_DNA10204-258.CEL	E-GEOD-39088
GSM955744_DNA10204-331.CEL	E-GEOD-39088
GSM955745_DNA11091-089.CEL	E-GEOD-39088
GSM955746_DNA11091-115.CEL	E-GEOD-39088
GSM955747_DNA10204-290.CEL	E-GEOD-39088
GSM955748_DNA11091-119.CEL	E-GEOD-39088
GSM955749_DNA11091-106.CEL	E-GEOD-39088
GSM955750_DNA11091-081.CEL	E-GEOD-39088
GSM955751_DNA11091-149.CEL	E-GEOD-39088
GSM955752_DNA11159-003.CEL	E-GEOD-39088
GSM955753_DNA10204-287.CEL	E-GEOD-39088
GSM955754_DNA11091-073.CEL	E-GEOD-39088
GSM955755_DNA11091-128.CEL	E-GEOD-39088
GSM955756_DNA11091-083.CEL	E-GEOD-39088
GSM955757_DNA11091-151.CEL	E-GEOD-39088
GSM955758_DNA11159-013.CEL	E-GEOD-39088
GSM955759_DNA10204-309.CEL	E-GEOD-39088
GSM955760_DNA11091-112.CEL	E-GEOD-39088
GSM955761_DNA11091-095.CEL	E-GEOD-39088
GSM955762_DNA10204-341.CEL	E-GEOD-39088
GSM955763_DNA11091-053.CEL	E-GEOD-39088
GSM955764_DNA11091-077.CEL	E-GEOD-39088
GSM955765_DNA10204-335.CEL	E-GEOD-39088
GSM955766_DNA11091-109.CEL	E-GEOD-39088
GSM955767_DNA11091-058.CEL	E-GEOD-39088
GSM955768_DNA10204-339.CEL	E-GEOD-39088
GSM955769_DNA11091-055.CEL	E-GEOD-39088
GSM955770_DNA11091-087.CEL	E-GEOD-39088
GSM955771_DNA10204-337.CEL	E-GEOD-39088
GSM955772_DNA11091-050.CEL	E-GEOD-39088
GSM955773_DNA11091-136.CEL	E-GEOD-39088
GSM955774_DNA10204-333.CEL	E-GEOD-39088
GSM955775_DNA11091-017.CEL	E-GEOD-39088
GSM955776_DNA11091-108.CEL	E-GEOD-39088
GSM955777_DNA10204-343.CEL	E-GEOD-39088
GSM955778_DNA11091-124.CEL	E-GEOD-39088
GSM955779_DNA11091-022.CEL	E-GEOD-39088
GSM955780_DNA10204-303.CEL	E-GEOD-39088
GSM955781_DNA11091-038.CEL	E-GEOD-39088
GSM955782_DNA11091-107.CEL	E-GEOD-39088
GSM955783_DNA10204-281.CEL	E-GEOD-39088
GSM955784_DNA11091-027.CEL	E-GEOD-39088
GSM955785_DNA11091-130.CEL	E-GEOD-39088
GSM955786_DNA10204-285.CEL	E-GEOD-39088
GSM955787_DNA11091-120.CEL	E-GEOD-39088
GSM955788_DNA11091-091.CEL	E-GEOD-39088
GSM955789_DNA10204-283.CEL	E-GEOD-39088
GSM955790_DNA11091-069.CEL	E-GEOD-39088
