LV	Allergic.Rhinitis...EGPA	Allergic.Rhinitis...GPA..no.prior.nasal.disease.	Allergic.Rhinitis...GPA.with.active.nasal.disease	Allergic.Rhinitis...GPA.with.prior.nasal.disease	Allergic.Rhinitis...Healthy	Allergic.Rhinitis...Sarcoidosis	EGPA...GPA..no.prior.nasal.disease.	EGPA...GPA.with.active.nasal.disease	EGPA...GPA.with.prior.nasal.disease	EGPA...Healthy	EGPA...Sarcoidosis	GPA..no.prior.nasal.disease....EGPA	GPA..no.prior.nasal.disease....GPA.with.active.nasal.disease	GPA..no.prior.nasal.disease....GPA.with.prior.nasal.disease	GPA..no.prior.nasal.disease....Healthy	GPA..no.prior.nasal.disease....Sarcoidosis	GPA.with.active.nasal.disease...EGPA	GPA.with.active.nasal.disease...GPA..no.prior.nasal.disease.	GPA.with.active.nasal.disease...GPA.with.prior.nasal.disease	GPA.with.active.nasal.disease...Healthy	GPA.with.active.nasal.disease...Sarcoidosis	GPA.with.prior.nasal.disease...EGPA	GPA.with.prior.nasal.disease...GPA..no.prior.nasal.disease.	GPA.with.prior.nasal.disease...GPA.with.active.nasal.disease	GPA.with.prior.nasal.disease...Healthy	GPA.with.prior.nasal.disease...Sarcoidosis	Healthy...EGPA	Healthy...GPA..no.prior.nasal.disease.	Healthy...GPA.with.active.nasal.disease	Healthy...GPA.with.prior.nasal.disease	Healthy...Sarcoidosis	AveExpr	F	P.Value	adj.P.Val
1,REACTOME_MRNA_SPLICING	0.006044500301106205	0.004097728174293389	-0.005924162739093525	0.0050759543477882155	0.00737396526153062	0.0170406261499405	-0.0019467721268128153	-0.01196866304019973	-9.685459533179891e-4	0.001329464960424415	0.010996125848834297	0.0019467721268128153	-0.010021890913386915	9.782261734948262e-4	0.00327623708723723	0.012942897975647112	0.01196866304019973	0.010021890913386915	0.01100011708688174	0.013298128000624144	0.022964788889034027	9.685459533179891e-4	-9.782261734948262e-4	-0.01100011708688174	0.0022980109137424043	0.011964671802152287	-0.001329464960424415	-0.00327623708723723	-0.013298128000624144	-0.0022980109137424043	0.009666660888409883	3.48085960640083e-18	0.07542784877455337	0.9982573133126139	0.9982573133126139
2,SVM Monocytes	-0.03295202253837313	-0.028912912040330384	-0.054621970936655016	-0.06888651913882983	-0.03829716631651478	-0.05179759118652183	0.0040391104980427445	-0.021669948398281888	-0.0359344966004567	-0.005345143778141652	-0.018845568648148698	-0.0040391104980427445	-0.025709058896324632	-0.039973607098499446	-0.009384254276184396	-0.022884679146191442	0.021669948398281888	0.025709058896324632	-0.014264548202174817	0.016324804620140236	0.0028243797501331883	0.0359344966004567	0.039973607098499446	0.014264548202174817	0.03058935282231505	0.017088927952308007	0.005345143778141652	0.009384254276184396	-0.016324804620140236	-0.03058935282231505	-0.013500424870007046	9.472503191189144e-19	2.714091943935857	0.01943510509702863	0.08268296866710025
3,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.014059153230301578	0.01593667145056835	-0.006586611975055992	0.02600686926517836	0.01761109044337878	0.015830813913472824	0.0018775182202667732	-0.020645765205357568	0.011947716034876781	0.003551937213077205	0.0017716606831712485	-0.0018775182202667732	-0.022523283425624343	0.010070197814610007	0.001674418992810432	-1.0585753709552474e-4	0.020645765205357568	0.022523283425624343	0.032593481240234354	0.024197702418434774	0.022417425888528818	-0.011947716034876781	-0.010070197814610007	-0.032593481240234354	-0.008395778821799576	-0.010176055351705533	-0.003551937213077205	-0.001674418992810432	-0.024197702418434774	0.008395778821799576	-0.0017802765299059567	-4.159912546010173e-18	0.6215196319275469	0.7124516759079602	0.810126502443729
4,REACTOME_NEURONAL_SYSTEM	-0.02445241510913372	-0.020482938897425355	-0.002647322759102476	-0.015037347444066861	-0.052098945398866454	-0.03102001476973	0.003969476211708369	0.021805092350031245	0.009415067665066862	-0.027646530289732733	-0.006567599660596279	-0.003969476211708369	0.01783561613832288	0.005445591453358493	-0.0316160065014411	-0.010537075872304649	-0.021805092350031245	-0.01783561613832288	-0.012390024684964385	-0.04945162263976398	-0.028372692010627525	-0.009415067665066862	-0.005445591453358493	0.012390024684964385	-0.037061597954799595	-0.01598266732566314	0.027646530289732733	0.0316160065014411	0.04945162263976398	0.037061597954799595	0.021078930629136454	-7.403959572631273e-18	1.1167952951396334	0.3609068386711141	0.5389032522971099
LV 5	0.018407369065676114	0.017252872373800784	-0.021024959503884076	0.009936367351868059	0.01702072781913831	0.023942059119888864	-0.001154496691875331	-0.03943232856956019	-0.008471001713808055	-0.0013866412465378041	0.005534690054212751	0.001154496691875331	-0.03827783187768486	-0.007316505021932724	-2.3214455466247317e-4	0.006689186746088082	0.03943232856956019	0.03827783187768486	0.030961326855752137	0.03804568732302239	0.04496701862377294	0.008471001713808055	0.007316505021932724	-0.030961326855752137	0.007084360467270251	0.014005691768020806	0.0013866412465378041	2.3214455466247317e-4	-0.03804568732302239	-0.007084360467270251	0.006921331300750555	-8.402566836762659e-19	1.941632090590138	0.08515999381708744	0.2060120438663365
LV 6	-0.0021544501345648085	0.0111799996457967	-0.02004101028238215	-0.005616716125957693	-0.012210109473068347	0.007716841754210037	0.01333444978036151	-0.01788656014781734	-0.003462265991392884	-0.01005565933850354	0.009871291888774846	-0.01333444978036151	-0.031221009928178847	-0.016796715771754393	-0.02339010911886505	-0.0034631578915866636	0.01788656014781734	0.031221009928178847	0.014424294156424456	0.007830900809313802	0.027757852036592187	0.003462265991392884	0.016796715771754393	-0.014424294156424456	-0.006593393347110654	0.01333355788016773	0.01005565933850354	0.02339010911886505	-0.007830900809313802	0.006593393347110654	0.019926951227278382	1.112733808603544e-18	1.892067407328143	0.0933943056915276	0.2141252705219806
7,IRIS_Neutrophil-Resting	0.007065434776267025	0.01214171838612381	-0.11801685674693885	-0.06346923454018047	0.0018333468068434736	-0.005774724855546833	0.005076283609856784	-0.12508229152320588	-0.0705346693164475	-0.005232087969423552	-0.012840159631813858	-0.005076283609856784	-0.13015857513306264	-0.07561095292630428	-0.010308371579280336	-0.017916443241670642	0.12508229152320588	0.13015857513306264	0.05454762220675837	0.11985020355378231	0.11224213189139201	0.0705346693164475	0.07561095292630428	-0.05454762220675837	0.06530258134702394	0.05769450968463363	0.005232087969423552	0.010308371579280336	-0.11985020355378231	-0.06530258134702394	-0.007608071662390307	3.777588622028442e-18	2.561615507348968	0.026115983962080758	0.0951161482308993
8,KEGG_PPAR_SIGNALING_PATHWAY	0.0036727647556140924	0.005477370936502496	0.04187876984426256	0.030528917255376434	-0.00645751284128504	0.019500966548118517	0.0018046061808884035	0.03820600508864847	0.026856152499762344	-0.010130277596899133	0.015828201792504427	-0.0018046061808884035	0.03640139890776006	0.02505154631887394	-0.011934883777787536	0.014023595611616023	-0.03820600508864847	-0.03640139890776006	-0.011349852588886128	-0.0483362826855476	-0.02237780329614404	-0.026856152499762344	-0.02505154631887394	0.011349852588886128	-0.03698643009666147	-0.011027950707257915	0.010130277596899133	0.011934883777787536	0.0483362826855476	0.03698643009666147	0.025958479389403558	-3.485139351818536e-18	2.203943666777223	0.0519141948779231	0.14990702187937124
LV 9	-0.0017738479286801036	-0.005124840780750178	0.10090146388565002	0.06602177193192164	0.01630112802987715	0.016918410238013937	-0.0033509928520700748	0.10267531181433012	0.06779561986060174	0.018074975958557254	0.018692258166694037	0.0033509928520700748	0.1060263046664002	0.07114661271267182	0.02142596881062733	0.022043251018764115	-0.10267531181433012	-0.1060263046664002	-0.03487969195372838	-0.08460033585577287	-0.08398305364763609	-0.06779561986060174	-0.07114661271267182	0.03487969195372838	-0.04972064390204449	-0.04910336169390771	-0.018074975958557254	-0.02142596881062733	0.08460033585577287	0.04972064390204449	6.172822081367841e-4	-2.9351920656433227e-18	2.5863162592508395	0.02489730198373266	0.09203609384997805
10,SVM Macrophages M0	-0.042172031724740475	-0.024232269422118362	-0.08661293908031609	-0.06447331946402485	0.0035442717392582535	-0.034003280743054	0.017939762302622113	-0.0444409073555756	-0.022301287739284373	0.04571630346399873	0.008168750981686481	-0.017939762302622113	-0.06238066965819772	-0.040241050041906486	0.027776541161376615	-0.009771011320935634	0.0444409073555756	0.06238066965819772	0.02213961961629123	0.09015721081957434	0.05260965833726208	0.022301287739284373	0.040241050041906486	-0.02213961961629123	0.0680175912032831	0.030470038720970854	-0.04571630346399873	-0.027776541161376615	-0.09015721081957434	-0.0680175912032831	-0.03754755248231225	5.27549951822552e-18	4.319209986095782	8.653817958662544e-4	0.02190081621846136
